Detector Measurements,,,,Tilt Corrected,,,,,
Detector Location,Detector Data,Simulate Data,Difference,Detector Location,Detector Data,Simulate Data,Difference,MPACT Data,Difference
J1,0.8275663447416122,0.839116420174,0.0115500754322,L1,0.529874372021,0.515679692689,-0.0141946793325,,
F1,0.7391866502901735,0.740633295411,0.0014466451212,K1,0.742876161291,0.742860220072,-1.59412191946e-05,,
N2,0.5127320228531805,0.501459992415,-0.0112720304375,J1,0.832092474684,0.839361683031,0.00726920834707,,
K2,1.056542266394393,1.0541714069,-0.00237085948858,H1,0.816758686752,0.832325118024,0.0155664312716,,
H2,1.014187197551008,1.0270383011,0.0128511035494,G1,0.832092474684,0.836346012314,0.00425353762959,,
H3,1.026333815363086,1.04713689799,0.0208030826298,F1,0.742876161291,0.740849772927,-0.00202638836418,,
F3,1.065128114878197,1.06020098597,-0.00492712891146,E1,0.529874372021,0.514674469116,-0.0151999029049,,
D3,1.062784241656557,1.06120591581,-0.00157832584694,N2,0.51313853653,0.501606562674,-0.0115319738563,,
B3,0.5185358876720259,0.501459992415,-0.0170758952565,M2,0.819175484709,0.822272882299,0.0030973975897,,
P4,0.813735970264911,0.822032612817,0.00829664255232,K2,1.05332911688,1.05447952754,0.00115041066442,,
N4,1.067720506020193,1.06120591581,-0.00651459020694,H2,1.01483590224,1.02733849109,0.0125025888471,,
H4,1.120205756784056,1.13054607508,0.0103403183049,F2,1.05332911688,1.05146385683,-0.00186526005306,,
L5,1.25377216840491,1.23405384907,-0.0197183193295,D2,0.819175484709,0.822272882299,0.0030973975897,,
G5,1.180260724202098,1.18079256731,0.000531843110938,C2,0.51313853653,0.501606562674,-0.0115319738563,,
E5,1.261277660149782,1.23405384907,-0.0272238110795,P3,0.51313853653,0.501606562674,-0.0115319738563,,
C5,1.200007122595373,1.18481228669,-0.015194835911,N3,0.919012979408,0.928826580983,0.00981360157488,,
R6,0.7425872840457083,0.740633295411,-0.0019539886348,M3,1.06566961717,1.06151609255,-0.00415352461814,,
N6,1.062583952902515,1.06020098597,-0.00238296693146,L3,1.19209891871,1.18515859197,-0.00694032674159,,
K6,1.212490574475366,1.2099355328,-0.00255504167798,K3,1.06546221571,1.0635265397,-0.00193567601315,,
H6,1.047289311144297,1.06924535457,0.0219560434292,J3,1.14853800046,1.14696009621,-0.00157790424629,,
B6,1.059618501843656,1.0541714069,-0.00544709493858,H3,1.0368525218,1.04744296254,0.010590440737,,
