Calendar days since BOC,156,,,,,,
Core Burnup [MWD/MT],5225.8,,,,,,
Inlet Coolant Temperature [F],560.84999999999991,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3404.9,552.,228.,228.,228.,211.,230.
1,3404.0,552.,228.,228.,228.,211.,230.
2,3401.1,552.,228.,228.,228.,211.,230.
3,3400.7,552.,228.,228.,228.,211.,230.
4,3401.2,552.,228.,228.,228.,211.,230.
5,3397.6,552.,228.,228.,228.,211.,230.
6,3406.0,552.,228.,228.,228.,211.,230.
7,3404.0,552.,228.,228.,228.,211.,230.
8,3400.7,552.,228.,228.,228.,211.,230.
9,3400.0,552.,228.,228.,228.,211.,230.
10,3402.4,552.,228.,228.,228.,211.,230.
11,3408.5,552.,228.,228.,228.,211.,230.
12,3401.3,552.,228.,228.,228.,211.,230.
,,,,,,,
Average Power [MWt],3402.492307692308,,,,,,
Average Boron [ppm],552.0,,,,,,
