Calendar days since BOC,191,,,,,,
Core Burnup [MWD/MT],6523.1,,,,,,
Inlet Coolant Temperature [F],561.22500000000002,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3408.2,445.,228.,228.,228.,212.,230.
1,3417.5,445.,228.,228.,228.,212.,230.
2,3410.1,445.,228.,228.,228.,212.,230.
3,3409.6,445.,228.,228.,228.,212.,230.
4,3409.3,445.,228.,228.,228.,212.,230.
5,3403.0,445.,228.,228.,228.,212.,230.
6,3406.4,445.,228.,228.,228.,212.,230.
7,3407.9,445.,228.,228.,228.,212.,230.
8,3408.3,445.,228.,228.,228.,212.,230.
9,3396.4,445.,228.,228.,228.,212.,230.
10,3422.3,445.,228.,228.,228.,212.,230.
11,3404.7,445.,228.,228.,228.,212.,230.
12,3403.7,445.,228.,228.,228.,212.,230.
13,3403.4,445.,228.,228.,228.,212.,230.
,,,,,,,
Average Power [MWt],3407.914285714286,,,,,,
Average Boron [ppm],445.0,,,,,,
