Calendar days since BOC,66,,,,,,
Core Burnup [MWD/MT],326.5,,,,,,
Inlet Coolant Temperature [F],557.42499999999995,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,1664.1,700.,228.,228.,228.,204.,230.
1,1666.0,708.,228.,228.,228.,204.,230.
2,1668.5,695.,228.,228.,228.,204.,230.
3,1661.8,702.,228.,228.,228.,204.,230.
4,1663.8,706.,228.,228.,228.,204.,230.
5,1667.1,700.,228.,228.,228.,204.,230.
6,1669.6,708.,228.,228.,228.,204.,230.
7,1660.8,697.,228.,228.,228.,204.,230.
8,1666.4,706.,228.,228.,228.,204.,230.
9,1670.0,692.,228.,228.,228.,204.,230.
10,1675.8,698.,228.,228.,228.,204.,230.
11,1665.9,697.,228.,228.,228.,204.,230.
12,1675.2,706.,228.,228.,228.,204.,230.
13,1668.4,703.,228.,228.,228.,204.,230.
14,1669.8,694.,228.,228.,228.,204.,230.
15,1668.9,695.,228.,228.,228.,204.,230.
16,1669.6,697.,228.,228.,228.,204.,230.
17,1668.0,706.,228.,228.,228.,204.,230.
18,1672.4,697.,228.,228.,228.,204.,230.
19,1671.1,703.,228.,228.,228.,204.,230.
20,1668.2,695.,228.,228.,228.,204.,230.
21,1672.6,695.,228.,228.,228.,204.,230.
22,1667.9,697.,228.,228.,228.,204.,230.
23,1663.9,697.,228.,228.,228.,204.,230.
24,1665.7,706.,228.,228.,228.,204.,230.
,,,,,,,
Average Power [MWt],1668.06,,,,,,
Average Boron [ppm],700.0,,,,,,
