Location,K12,uncertainty,D10,uncertainty,D12,uncertainty,H03,uncertainty,H02,uncertainty,L10,uncertainty,H06,uncertainty,L13,uncertainty,F07,uncertainty,F01,uncertainty,G09,uncertainty,F03,uncertainty,F03,uncertainty,F08,uncertainty,E11,uncertainty,A11,uncertainty,R11,uncertainty,E09,uncertainty,G12,uncertainty,M07,uncertainty,N08,uncertainty,L15,uncertainty,N06,uncertainty,J10,uncertainty,N02,uncertainty,K02,uncertainty,H13,uncertainty,K06,uncertainty,L08,uncertainty,L05,uncertainty,E05,uncertainty,E05,uncertainty,H15,uncertainty,D08,uncertainty,C08,uncertainty,B03,uncertainty,B06,uncertainty,B08,uncertainty,H04,uncertainty,C05,uncertainty,F14,uncertainty,C07,uncertainty,N13,uncertainty,A09,uncertainty,N14,uncertainty,R06,uncertainty,R08,uncertainty,J08,uncertainty,P04,uncertainty,J01,uncertainty,P09,uncertainty,J07,uncertainty,B13,uncertainty
0.0,0.0044031522809638794,0.35938906696606454,0.0049061597575656207,0.46310629330316283,0.0048727122679819322,0.36840206171480955,0.0040549546980630496,0.10606299181104402,0.0045623977971232165,0.45164469527540518,0.0042107510616461513,0.23263734281707726,0.0049672921549410859,0.2392867959051625,0.0046484129063104479,0.46684570765347694,0.004197824690346341,0.20497339293926478,0.0027157214770507075,0.30255569395043025,0.0045355176376565502,0.27521238983520302,0.0071821905599163622,0.11047973480409616,0.0036542417476256263,0.33408945497646958,0.004611201115206966,0.20554749421861512,0.0050345532397175511,0.35063843933252525,0.0022988301680881154,0.23812038942707067,0.0021136177245781118,0.44129803863964406,0.0049546178368510075,0.24605638033985441,0.0039518522898963392,0.39142214384674556,0.0039412588543177854,0.37400609294371268,0.0038052814109539304,0.3204854928761815,0.0022940453302250042,0.35931964926168408,0.0038863853022465477,0.39995115170829343,0.0040365300343216054,0.37836390246630636,0.0024849310434251048,0.3001329401915962,0.003540091307394366,0.5730455315292684,0.0034478358245124243,0.53962262239161207,0.0054191205429087617,0.40696504213707513,0.0042399300807572171,0.36670690343481788,0.004759715266061823,0.28878997782060695,0.0097277090885505846,0.087421590099632129,0.0042647605049774117,0.45685637017109981,0.0034393898868887722,0.35972769423775475,0.0045541555671969932,0.3667175802296942,0.0036036428777923724,0.46292803564956547,0.0025260503810452159,0.28783166520581904,0.005541064244882256,0.36337008821359096,0.0041947250043272892,0.45483760157116532,0.0038874174238572282,0.55563733999201803,0.0051547963902395157,0.4236332328160658,0.0048533453126247206,0.43343265547520859,0.0042962974112089828,0.43623701824383843,0.003251815184822115,0.39090879951724572,0.003106515124224512,0.39334360999703477,0.002627603432558539,0.20956941539716489,0.0029355419506769715,0.088355056700652482,0.0029167001974560202,0.38925145905266451,0.0039349308692722762,0.38997659690784431,0.003144600410530907,0.40663417367905386,0.0033571840142636315,0.37750614170143754,0.0036807140403910393,0.26210480797199798,0.0045061109776004128,0.29073759025543228,0.0027437555095175216,0.4018879048128613
6.0960000000000001,0.0058855514234841012,0.36650829158720072,0.0075133082088274586,0.31875833915498908,0.0065574230876401136,0.32364535667264716,0.0044256332185508632,0.34285504355988183,0.0065595767506482034,0.32696126759887145,0.005096099747853129,0.34272523379500158,0.0060193758761264426,0.36989813912270425,0.0069750724659584633,0.34332890251215603,0.0049787056316589178,0.3101016865232451,0.0034630988615132387,0.27684360916815398,0.0056621436038205514,0.36057195649296558,0.0072189179909919864,0.10556056943941186,0.0048051857636715704,0.32631761426282446,0.0054579272034076679,0.40941489236220913,0.0066941445857291483,0.32425875587617453,0.0027927960538429728,0.28444348259257801,0.0031291060122850501,0.33383552200415784,0.0060504948239004626,0.38877762777126079,0.0054237758333729388,0.31814738295194722,0.005349243262641609,0.31639063748299184,0.0049338101434628018,0.32981399683991836,0.0030709936834531788,0.31791464352776438,0.0054521993452973962,0.30929644939526929,0.0054635482503401977,0.3361194473898545,0.0031750665560141161,0.31764906387780367,0.0057633612109003795,0.40043384356329764,0.0057640275117427043,0.39414147444813491,0.007788402871432328,0.30651925830007609,0.0056862295126631993,0.34276338314837484,0.0060358350617997379,0.35750487789506252,0.0098140836621774651,0.086310166702031177,0.0062591108036831869,0.30907883812772224,0.0046125222047072719,0.28725596639274559,0.0061280336253624213,0.35260008180380298,0.0054244505021393509,0.3492321151570234,0.0032008643844036529,0.31178561549487288,0.0074255337674046526,0.27827830060181991,0.0060995941225548073,0.35015702469160503,0.0063367185757497897,0.38869794941342417,0.0076067495687483552,0.30352438354601052,0.007088126417799624,0.32577494716314281,0.0061597580815788856,0.32594924390223168,0.0047433314703246836,0.31809156096751301,0.004329362266998725,0.30726220310129715,0.0031194392491737206,0.29665856004117419,0.0031504001590030727,0.30092553867217381,0.0040185461470378554,0.31604981964602957,0.0056445669416234955,0.30140537115594118,0.0045188841922103621,0.28226450870181702,0.0045714849375040958,0.29629958885775765,0.0045388985406966606,0.34240213031152811,0.0057001235790833989,0.35628381434964457,0.0039586508076047151,0.31829431121173796
12.192,0.0079708037899824478,0.29487507454442491,0.0093113493135596227,0.26561789659682561,0.0086103109666936916,0.2573769272979094,0.0058573882345429448,0.32472591982634669,0.0085980506117498308,0.25101976576198715,0.0067554641994509324,0.30188955654669891,0.0082073775766804118,0.32125123177557385,0.00906094993745582,0.24645515058604051,0.0063779947710636978,0.28381463915140664,0.0043336952905706745,0.26795425626486546,0.007658978293738971,0.29872682750228918,0.0075351141207685721,0.15832110061227905,0.0062624028213202855,0.27645480471613576,0.0076809510248330862,0.35639461238685244,0.0087744033413785956,0.26341825461857621,0.0035114774259385213,0.27041194182737638,0.0040015361308672779,0.25219805847674615,0.0083672179464650536,0.3328021851307067,0.0070491884176728794,0.25288434229932966,0.0069203729619729693,0.25756392889079954,0.0064733712519802989,0.27811364565348284,0.0039929402602243555,0.2699085883731312,0.0069403875574274966,0.23949948452556405,0.007222355944308801,0.27635682878483336,0.0041252729456340946,0.27893464132297791,0.0077988794394705865,0.278770014497489,0.0074603304666608986,0.2560513859153693,0.0097811993276430125,0.22238909968563447,0.0075647386990780529,0.27854923818236621,0.0080957587473499699,0.30005785332476564,0.010302138392631357,0.15277634373590543,0.0079032610421751227,0.28194042016233717,0.0058377230265334252,0.23876564628965247,0.0081991264911001702,0.28263019090277242,0.0070208144154720702,0.24825525322533529,0.0041329023357712536,0.27356105180273266,0.0093724187139224788,0.2254461147045575,0.0080831736779347074,0.26644729713377147,0.0084104707529264779,0.26452280098767189,0.0093698703219844727,0.24451939238239331,0.0090840687048211102,0.23685027906183781,0.0079971207743687184,0.25454611451140552,0.0058613198791291447,0.22960300326785102,0.0055185508635857139,0.24743302048637322,0.0039687649707380234,0.28142525769445748,0.0040159154437992379,0.29439402436896273,0.0051965249259410696,0.25903253211372779,0.0069258108054768754,0.23969412126318523,0.0054576016605441856,0.29634164995899304,0.0058246094470962963,0.24558870739534244,0.0060600635459393077,0.30254418560465096,0.0076743684064218077,0.29291659677369136,0.0049726847251945388,0.24086023458061778
18.288,0.0099047261889817235,0.22900860086637084,0.011557553496377302,0.23099814510157859,0.010405430296079533,0.20900304024347904,0.0074574129368188804,0.23059439986604396,0.010474943451822708,0.18834729723208943,0.0085243582744836052,0.21612473552513706,0.01025673545907458,0.21058074468404542,0.011028247708475443,0.18840303355459237,0.008079299207581896,0.22520011345657726,0.005373077113464823,0.23737501151243601,0.0094130865232433091,0.24867272470351012,0.0084454317480456998,0.16953762703880523,0.0077739730091522276,0.21597246838041798,0.0098542788047583617,0.22978318269580231,0.010776023502446556,0.19816396729761387,0.0043925208111922336,0.23694878470964931,0.0048434663499172309,0.2101636951910226,0.010600760975001768,0.213232164433622,0.0084764245199897142,0.21475742194333414,0.008481546811893538,0.19968728497813443,0.0079945586919443895,0.20498737457383917,0.0048771004806877037,0.21608873253651714,0.0083362652456988959,0.19144497523065437,0.0088051168719044878,0.19639335631048443,0.0050981697329502747,0.21804421244810712,0.0097834422801995179,0.21999011458607165,0.0088483101135294791,0.17546081930893129,0.011688335322216564,0.17826803239519964,0.0092063310625257709,0.19782177132827874,0.010221246575243873,0.22012518911482629,0.011629470911859579,0.1758828609267932,0.0099695022363553883,0.25050364403420794,0.0068628880704697838,0.19757244808535393,0.01011656031217437,0.22091917574629752,0.0082408022179568819,0.19718344039903202,0.0051127858301396566,0.22657799297680606,0.011078262295058799,0.16738476893175799,0.010107261681555523,0.21689432413802681,0.010381650516027364,0.2072800958083163,0.011392229038727993,0.20888366399083871,0.010917468241833027,0.17740424725763704,0.0099325511927882328,0.21311004481835252,0.0068713112793381999,0.17958574883010089,0.0067057166092768161,0.20510672952961972,0.0049806477149658083,0.23840929299185815,0.0050727012843074706,0.23388925781083417,0.0063175965040937381,0.20953945354438633,0.0083064523477229188,0.20102152718771388,0.0069133002650326918,0.27726002022332014,0.0069278480580134087,0.19316257332130016,0.0073671599970984653,0.21752018520636962,0.0094340392621678169,0.24592569546650528,0.0058045313479918176,0.18701188361515655
24.384,0.011950264972351946,0.19532052083751084,0.013434737654239554,0.15794426134874864,0.01228840248618321,0.18126738355363869,0.0087009551936563269,0.1809990890559412,0.012134480932566938,0.15106476362279775,0.0097911555374007014,0.18617590056151934,0.011836646607350445,0.16175326227601636,0.012899711884852786,0.1499150357971894,0.0095114894238255351,0.18949308563090406,0.0064565694559132894,0.20328059348302521,0.011537108194368345,0.2220608266639241,0.0096509471109005335,0.15472917326726338,0.0091753337194509423,0.16921143879299813,0.011763744349156896,0.17773090832983737,0.012739968771302103,0.16758813850256565,0.0051316850876684389,0.19648554549349512,0.0055014368563659627,0.18509310902071235,0.0125863214799996,0.16801996507425501,0.010071857357249242,0.19304595481777748,0.0097411539560931411,0.17943071225611607,0.0091087096973547412,0.16703081683587151,0.0055513056856597368,0.18814834524164489,0.0097174238985488093,0.15698637853156353,0.010226500684669104,0.16060831904714482,0.0057270817745800288,0.20628562853994986,0.011348215281645388,0.14683371693121272,0.010147172375604533,0.15230701167765612,0.013448172014371236,0.14638775063239018,0.010711366581578971,0.1534868907826282,0.01210545945382519,0.17304457656814209,0.013529845882038902,0.15258377968164871,0.012233560148753561,0.19548392168670981,0.0079159133278514076,0.16849369947163134,0.012125366151528951,0.18858178060387021,0.0096118953959247432,0.17905494324032281,0.0058554742436443107,0.17072074371744561,0.012663747788439095,0.13133793661135959,0.011681802433738786,0.14767328326269602,0.011986741839298671,0.1481868704126541,0.013251270520789058,0.15308143388050169,0.012632927717774592,0.14806490354830917,0.011591767714722073,0.16591019137572338,0.0078638051218032738,0.16057842981337353,0.0077163151575903345,0.16623469055034246,0.0059374242793231048,0.20145906470676336,0.0061389220414630238,0.20792976755458939,0.0071576654734840572,0.17791949719865793,0.0096769541489991565,0.1581927799841904,0.0082879709385533362,0.18452633911434327,0.0079615292395596726,0.15231575820099791,0.0085932489019889952,0.17545471716430666,0.011560091845280581,0.22100395992953736,0.00659049552852509,0.1606497137319666
30.48,0.01366800330173343,0.14449913238079537,0.014935188097584078,0.12556569905733303,0.014095600599326687,0.13775929555420183,0.010013048435996161,0.16223645594284203,0.013712555382217592,0.13096143394872684,0.01131969222106375,0.16474101345455722,0.013561378735790769,0.14483970518153166,0.014194262473264897,0.14807503875645739,0.011029072090815696,0.15880411982771045,0.0073662216194009299,0.16399919585343811,0.013300981145584766,0.1511075949797861,0.010918807037003391,0.13426626155058002,0.010368337755403771,0.14866704046559986,0.013427250059467972,0.14370847547291804,0.01459937198369496,0.13866331311723926,0.005818960359564568,0.1700305139330478,0.0062066475829138049,0.17188663535614584,0.014320934767085423,0.13592654566217235,0.011576785971585485,0.13854925584685321,0.011210669866614119,0.15833287956543879,0.010382095741503535,0.15807145349652899,0.0063303390056147473,0.17976992137970133,0.010617139529434933,0.15794350375766367,0.01157993827885676,0.13302400978102194,0.0066101350068864667,0.19351830444012308,0.012599793709459002,0.1446495552439622,0.011395117787892201,0.1233785438627121,0.015054401219774777,0.12012548813443184,0.012056726501156552,0.12888697424331882,0.013838990647080067,0.13912714203120946,0.015096917301999033,0.12570686741866188,0.014040864733610292,0.14322463759319087,0.0089707338280494882,0.1380308818525304,0.013809876447316781,0.14093504437294455,0.010910651200254017,0.13114271486468657,0.0064462620902137396,0.17356168876843364,0.013784615490277655,0.13715868375618523,0.012978165437224968,0.14922912331084409,0.013276566584157519,0.14987207857207149,0.014873601624248342,0.12079458966715426,0.014354213502712911,0.13358202835559416,0.013213233718756351,0.13417179882931507,0.0087657727255787531,0.14159045305325577,0.0086876738154958305,0.13985625624610021,0.0067285121974692249,0.15779966523375485,0.0069447686477932266,0.17097243777617802,0.0081097031733496951,0.15887015160951484,0.010620623964814049,0.14531628411329589,0.009327253462260595,0.13521771513734143,0.0086776869867941069,0.1472067357081431,0.0096977102821515695,0.13991452998013071,0.01331593567238549,0.14609302368718277,0.0071114219303365211,0.16845802249190456
36.576000000000001,0.015165164492223288,0.11656914259121003,0.016750980659815978,0.11938731854842402,0.015412896632639212,0.11706124146309013,0.011236003829164875,0.12302252426484339,0.015283777853893576,0.11500158802795074,0.012723498550065644,0.12611321937909575,0.015107661409764685,0.11783016004137209,0.016005987718083755,0.14535255033239661,0.012379428114948729,0.12572960131199984,0.0082261306816552322,0.1373342039047778,0.014686357509174857,0.11935092272694908,0.012100780832822703,0.11592681593747006,0.011611615628129759,0.1278443881600933,0.015028713123452249,0.11930270703499134,0.016250569630338108,0.11212693425133052,0.0065179810728579687,0.15823242804479473,0.0068962843374581386,0.14365835900682686,0.015935692316393139,0.11148557193777961,0.012588966281888445,0.12139799000597037,0.012692626756277326,0.13133537035101617,0.011569407737083145,0.12262039001868343,0.0070463341047819414,0.14538554904849624,0.011901807432000576,0.15328329633324522,0.012835005403536588,0.11359416537934373,0.0074774357208734817,0.15087955829047314,0.014364585790913797,0.15355765086068271,0.012395554096466319,0.11720892316047003,0.016578723111773098,0.10069513675618638,0.013264236422632067,0.11186853904733514,0.015446801925800665,0.11683391282737136,0.016651917471768789,0.11040405243531362,0.015659947524914241,0.11580536502382656,0.0097437447264518764,0.12024183425947024,0.015285907770433687,0.11477553787735019,0.012021816837765723,0.11795186764538626,0.0073266002980377429,0.17563776381399587,0.015334763854010414,0.13455572246028885,0.014893728667316778,0.15743533067815352,0.015193846119761698,0.15649066026050748,0.016304485482986394,0.10591475350314752,0.015833460367206922,0.1076124521544278,0.014371588543485312,0.13309916400728911,0.0097226013630340811,0.12967127535581918,0.009359375331527222,0.13203396758856595,0.0074754812682085907,0.14074623661347216,0.0078097770077363918,0.14823813660728558,0.009022650711451188,0.12605683981157184,0.011813201134621676,0.13868601188449306,0.010264904747113389,0.12299049392006285,0.0096019353761708434,0.14228754211130279,0.010614601086692099,0.12047655637886913,0.0146236500669175,0.11921054740060642,0.0079671980434609831,0.16281922576885693
42.671999999999997,0.016840651019729574,0.10837412803887846,0.018283884084378289,0.089329898323628351,0.016962370006467387,0.10996930251763716,0.01231401971607753,0.11503696633590207,0.016645779853296967,0.094917298978067513,0.013910793345517021,0.10569919717923189,0.016599244298375494,0.10353003534545389,0.017697539810187617,0.10054007274922457,0.013552083265178882,0.10848810717507212,0.0089454778470964367,0.11672466485093552,0.016364362349948772,0.11579698181716956,0.013160907513581392,0.10433761154504075,0.012731737554199599,0.10795448056247139,0.016286514694254472,0.100128494090186,0.017724245769408981,0.092574288574152591,0.0071173442327205237,0.14014965143612501,0.0073805214233022085,0.12219740268580483,0.017211506652305891,0.091616601089263519,0.013829776759494025,0.11992329983118892,0.013922420611809478,0.10824636253096009,0.012642096197683354,0.10801522523696594,0.0076296086836995939,0.1255232205379484,0.013192765820718754,0.11409072467408203,0.014105104678952582,0.107968241741982,0.0081465328821700381,0.1221421871530738,0.01596608659602022,0.10970905833206109,0.013562274614111717,0.11643275530788545,0.017731916737935755,0.093983720329783818,0.014257903670912531,0.09162641650182575,0.017067080535051432,0.10383952998991544,0.018209804417954164,0.091397610255429695,0.017103300488548315,0.094518885597472638,0.01056829790603417,0.11977104074887629,0.016943545298983131,0.10705451788956184,0.013294965715608233,0.11965158193996982,0.0081287977308275271,0.13134028468508763,0.016957073968813709,0.10095831980667529,0.016622802985513996,0.11209104348232402,0.01694642236823677,0.10903252369048871,0.01772996533705469,0.092998738718925722,0.017099898391249892,0.086529991687449279,0.0158735515913314,0.12595647971244062,0.010524461930554794,0.11396690054585373,0.010239386497573636,0.13306059597322148,0.0081315935053430672,0.12300491618174744,0.0082752917842491454,0.14447125366442035,0.0096909782884188212,0.10287842482523418,0.012999681517171888,0.10997971100032758,0.011136751520825878,0.10016610876409687,0.01055323691607836,0.12156346049439538,0.011344244569744559,0.090558844714552722,0.016305476388139225,0.12003483074968312,0.0088221609991777448,0.12752431494282002
48.768000000000001,0.018217163644004875,0.082274373427354358,0.019477380659843238,0.06850084619048899,0.018437187355806205,0.08509471145483942,0.013578805712570525,0.11856842723107613,0.01780339268827626,0.07741319775390744,0.014956855757140491,0.087413770355677267,0.017926773890501312,0.084521628248064473,0.019001650079089164,0.078815768768534814,0.014665964741514256,0.09604371919199664,0.0094261161887586025,0.10380670092335757,0.017827205535983583,0.091923738344346945,0.014244980626051475,0.09431334939997045,0.013752627981766696,0.099541415551572185,0.017479877727145505,0.087777269580097406,0.019204515082875392,0.084993122734219398,0.0077580117969051378,0.13290018018188549,0.0078941549504415801,0.12256199280590695,0.018400413320873128,0.079924585450624891,0.015033757370843798,0.0944800483381351,0.014904123208361649,0.084389816548924995,0.013819185038721378,0.10546062672730852,0.008112616211361624,0.10924558198363903,0.014130200507574372,0.08892695321928297,0.015232630374842163,0.091317216243705215,0.0087328212042169211,0.10978293220222256,0.017210822287940998,0.083839879540123521,0.014690952809760339,0.096401118229293078,0.019204964239732579,0.093838367005185663,0.015123792317504464,0.081702185490365925,0.018467210994695529,0.083076290164422056,0.019425088063759127,0.072329567908544015,0.018375696060603876,0.07705528522519052,0.0113311997224495,0.091301165568090953,0.018286596843877012,0.080400929934126744,0.014373273109890797,0.095089996576173078,0.0087619339915130153,0.11297211442638568,0.018034370028375706,0.072217152962280859,0.0178958725486505,0.082601559965675309,0.018325300828615748,0.082293973250768385,0.01910607830689216,0.080979715782002124,0.018446969185191599,0.080177097837108496,0.017509078113504661,0.098919836194535149,0.011202057541347218,0.087551801892760545,0.011178006031265508,0.10336183703640117,0.0087535735038125288,0.11270249153184121,0.0089952678476936838,0.13509172836177818,0.010371981368805063,0.10694028096332235,0.013912259508788698,0.086657768774617061,0.011984006378343707,0.094223356639319231,0.011170479506558906,0.085007591787847434,0.011986791866606089,0.085578600773841954,0.017760499145273553,0.091504733079824346,0.0094790645898435427,0.10388705173757681
54.864000000000004,0.019347088918256854,0.064693488532791707,0.020336198182507637,0.061359469576342925,0.01953001329846631,0.061359886537283491,0.014602463135980064,0.089143235286186326,0.018908386188154287,0.063357002850523508,0.015937434808778031,0.077257143079881296,0.019045051671392393,0.067102011816348131,0.02005939655839846,0.054779944393970187,0.015553953159798496,0.076744585298504892,0.010086119255141711,0.10429892310165589,0.01889551761012381,0.062220119979332023,0.014896481273914497,0.076480689748433459,0.014654440935283957,0.08250515398867582,0.01894960094532358,0.079608235891239471,0.020284262995488547,0.060998501482315337,0.0083611712990455146,0.11201442344653149,0.0083005507331987867,0.099959164090724445,0.019838113369246114,0.069922947347519235,0.016011851037478021,0.074709260830413626,0.015791412341184176,0.071335148444658256,0.014731329233126037,0.080531467152968952,0.0085173771871066492,0.093998783911906719,0.014834731869024263,0.06993298426214703,0.016109212046773607,0.068752963265456948,0.0092131217475453896,0.091622937164936857,0.018186313574929655,0.05870172170021426,0.015399414827218141,0.063615559574966229,0.020310408756289769,0.064143194620028612,0.016128678922101101,0.070238619552322953,0.019667813031506765,0.06353738597940356,0.020462042015776363,0.052649182503967558,0.019719567677658402,0.069292727219303227,0.011793775506285397,0.066321767427016676,0.019367778656964978,0.061846013471819103,0.015048700068556851,0.067251290832996372,0.0092671300649360775,0.092291783182486348,0.018873201115800445,0.048944718533533972,0.018970117428766628,0.063673489573390932,0.019419483397659931,0.061731443878634093,0.020085364637021659,0.052530983543299624,0.019445577817906221,0.059547989432574291,0.018666484229255185,0.070747018715050014,0.011637472911156081,0.063975260628473696,0.011761414639555556,0.069647568536625404,0.0093618814924775959,0.099125157068936307,0.0097644273911644212,0.10393541818082143,0.010966284463803388,0.079646268692569411,0.014517615344720984,0.075984821839353608,0.012659210233945914,0.085031219908460187,0.011640285877277055,0.060330504357478498,0.012744882552861837,0.084912791573293067,0.018748958205704509,0.057708101451197161,0.0099621547963964462,0.094169241820075605
