Calendar days since BOC,62,,,,,,
Core Burnup [MWD/MT],268.2,,,,,,
Inlet Coolant Temperature [F],557.34999999999991,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,1659.1,705.,228.,228.,229.,228.,230.
1,1657.8,708.,228.,228.,229.,228.,230.
2,1662.7,698.,228.,228.,229.,228.,230.
3,1662.8,695.,228.,228.,229.,228.,230.
4,1655.4,703.,228.,228.,229.,228.,230.
5,1663.8,700.,228.,228.,229.,228.,230.
6,1661.5,700.,228.,228.,229.,228.,230.
7,1659.5,691.,228.,228.,229.,228.,230.
8,1660.2,711.,228.,228.,229.,228.,230.
9,1663.9,708.,228.,228.,229.,228.,230.
10,1663.4,705.,228.,228.,229.,228.,230.
11,1662.7,703.,228.,228.,229.,228.,230.
12,1658.9,706.,228.,228.,229.,228.,230.
13,1663.6,706.,228.,228.,229.,228.,230.
14,1664.0,703.,228.,228.,229.,228.,230.
15,1658.7,709.,228.,228.,229.,228.,230.
16,1657.8,702.,228.,228.,229.,228.,230.
,,,,,,,
Average Power [MWt],1660.929411764706,,,,,,
Average Boron [ppm],703.1176470588235,,,,,,
