Location,D14,uncertainty,K12,uncertainty,D12,uncertainty,H03,uncertainty,L15,uncertainty,L10,uncertainty,L11,uncertainty,H04,uncertainty,E11,uncertainty,B13,uncertainty,F03,uncertainty,G05,uncertainty,F08,uncertainty,D08,uncertainty,E09,uncertainty,G12,uncertainty,M07,uncertainty,N08,uncertainty,N04,uncertainty,J14,uncertainty,N06,uncertainty,J10,uncertainty,N02,uncertainty,K02,uncertainty,H13,uncertainty,D03,uncertainty,L08,uncertainty,H11,uncertainty,L05,uncertainty,E05,uncertainty,H06,uncertainty,C08,uncertainty,B03,uncertainty,B06,uncertainty,B08,uncertainty,L13,uncertainty,C05,uncertainty,C07,uncertainty,N13,uncertainty,A09,uncertainty,N14,uncertainty,R08,uncertainty,J08,uncertainty,P04,uncertainty,J01,uncertainty,P09,uncertainty,J07,uncertainty,G09,uncertainty
0.0,0.0031761559169460134,0.23126801725318813,0.0037905707848437981,0.42300974609694691,0.0039602458058545353,0.38613415402666423,0.0031453026062828239,0.33930212896593853,0.0028253619135758909,0.29524436367310891,0.0044785873729086233,0.35674307203820055,0.0040795332207646468,0.45744247549982558,0.0035924768848643609,0.48244706199378962,0.0049707832090905716,0.30660361618974064,0.0023483999449274129,0.41049655859372119,0.0037975757493952885,0.34781777759661187,0.00434289231404474,0.18890808512927068,0.0036738527304260695,0.27511782250654521,0.0039012021837798458,0.43789392093162599,0.0041175202176519619,0.27169085870675219,0.0033329767109785795,0.28368451305411974,0.0038146758371791671,0.39298382733744258,0.0032256922249095372,0.41709721681681905,0.0041236969837980227,0.26065404620537014,0.0033792410572220052,0.35477887044941075,0.0031229118917758657,0.42250018006395496,0.0037288043076191312,0.34031096151759205,0.002100507954440038,0.26525303494212149,0.0032536408902002429,0.51363115716532648,0.0030282972351323538,0.60825760646008598,0.0039922709888257201,0.25791004675981632,0.0033941076741461932,0.41747640898808919,0.0033959763952647326,0.59945847343676606,0.0039476166712886507,0.37337315303857865,0.0048922239029575102,0.38456115684087211,0.0043060088666537497,0.16519962289319867,0.0032035425940986585,0.184453766504967,0.0021310059517989002,0.33715880411702065,0.0033873146016161824,0.60250833600060483,0.003954650472301386,0.36515349090595456,0.0039261414407314186,0.45911352923917415,0.0065882137037001093,0.015399301623822883,0.0041373424028914177,0.055332467009535966,0.0038447621149528335,-0.10283586822696393,0.0030249572512770851,0.038577267897396329,0.0022928987094690055,0.14105794961328685,0.0025870807516413007,0.32665302630348436,0.0030622052078577355,0.39009378431707914,0.0028737475348577187,0.35210453356932647,0.0024901742989846395,0.52992363757642025,0.0030506837264880405,0.30859276005582098,0.0037376490204031635,0.42770588228380874,0.0038638909613686024,0.43776473431126095
6.0960000000000001,0.0038617559716408924,0.30938437790032158,0.0053058498777219252,0.380460671877763,0.0054544026939332049,0.33167661422824563,0.0041619253691312077,0.31479023867019379,0.0038888601105762175,0.23686325081804366,0.0065787889157733134,0.26006682909534184,0.0059398132893455392,0.33190236486436364,0.005539794206707741,0.36082125589909597,0.0063637137077453025,0.29910623802355396,0.0035456106849079123,0.30912100197559977,0.0051148294184164425,0.27668339716834545,0.0050718320188290825,0.41172029308330338,0.0045637930574353603,0.42502465645260318,0.0055508088808895505,0.35714566296545525,0.0051145915840622152,0.39748809673534002,0.0042229659263751697,0.31869434217567111,0.0051731143560911188,0.30539528649232811,0.0046439259028283443,0.31917767456250057,0.0050589541661197751,0.32843239384814216,0.0045963903188727204,0.28737330510159609,0.004644530120591601,0.29277307101724337,0.0049227198831748864,0.28688103409216525,0.0026111217488169907,0.32292837867499513,0.0050648545656407969,0.36724666281154628,0.0042833930814530725,0.34806371389390806,0.0048954297885784514,0.34633229683893874,0.0047217587746832199,0.35320300032958685,0.0046198899579608134,0.30299749346928118,0.0053476778607637375,0.35463120779128027,0.0066668096753640599,0.29112101907370724,0.0049164988259861025,0.37470165308431552,0.003738970757778235,0.34497834745111627,0.0028034453510207241,0.29843793012534586,0.0058989976761442608,0.41625216160925832,0.0053445680540025837,0.3312990587348203,0.0059630696707551473,0.3140960050377995,0.0066833490383334518,0.29470682208937854,0.004376396723286438,0.4484555030994446,0.0030749388943457478,0.33406805307733889,0.0031385086274428142,0.38800461230589578,0.0025721663910547648,0.31140908631778585,0.003377370525515868,0.28191943263058933,0.0042182035879294519,0.31781815738829639,0.0037888821270327588,0.3102787141919891,0.0034817019024201055,0.39713727042098063,0.0039043256157341609,0.34134576264361954,0.0052897152773965887,0.35055697738736519,0.0056777736773609552,0.33161740750749158
12.192,0.0049562189501689488,0.27583331390223581,0.0072747102834664484,0.30136508417089725,0.007124138731996044,0.26080569318789221,0.0053791836436949412,0.26575263621204981,0.0042866134768617756,0.23189821528449789,0.0073617310001913953,0.24148976337681363,0.0077644261017442628,0.25015364355352165,0.0071882202211893936,0.25082653909454866,0.0081813920040372037,0.25072370818358702,0.0042398998974794459,0.2630952504526331,0.0063060123607390417,0.22649143181291204,0.0071568314687257151,0.36077183221157211,0.0065198702865900508,0.36496285287746527,0.0074459072993976125,0.27846198782264858,0.0071368331899701945,0.3389864448047164,0.0054629420628852145,0.28577649746568323,0.006737798892252035,0.23769986029811774,0.0058946815330660042,0.2439382506009905,0.0066742408133770893,0.28888566348135636,0.0057045455629397184,0.22951709039539256,0.0055463956186942911,0.28657338192998316,0.0061991529788448631,0.2461916279829191,0.0034083227567392534,0.2868342303366414,0.006669485091118546,0.27246829027325581,0.0055396681948381649,0.25157183917474568,0.0065511090968519339,0.30407839094175237,0.006343978767741368,0.28561327073655968,0.0057364087542175375,0.27346549991004487,0.0071547209864970185,0.28504270577252316,0.0085136279985737386,0.23190936580360097,0.006739377114407784,0.33833195303250418,0.0049730184183910493,0.31496165881019617,0.0035839787156292011,0.25615171008626575,0.007815244918148995,0.26571681389109936,0.0069913483251908184,0.26504955210067044,0.0073502622203268963,0.27732501405761834,0.0085547726932529902,0.2949911289732296,0.0063560304861378378,0.41080504897662845,0.0038995541563507535,0.35078235344579356,0.0043462214295043947,0.37427486366308188,0.0033228305856668216,0.29608594398594806,0.0042296473436788055,0.27045190285291465,0.0054641333419892515,0.2633869351496807,0.0049530448401241614,0.24693855275947607,0.0044756584110646671,0.2740621759798203,0.0052014874531436314,0.29744430231449598,0.0070450884839979577,0.27335033142727544,0.0072614892947606051,0.24797956288447276
18.288,0.0061914655571039517,0.22395592836821149,0.0090201107438431967,0.21056988816911099,0.0088743064350112894,0.21480160133240961,0.0065836176447862434,0.211602020628058,0.0049432219923281704,0.21593992561394582,0.0086681169381884852,0.22181307521071042,0.0093829879472983029,0.19797658270534108,0.0087664173175421752,0.19752116697419411,0.0098783641023733864,0.17954232719397129,0.0051203487065712063,0.23274686112281109,0.007544333306088293,0.19309186922635632,0.0091718379694099069,0.22989140745152567,0.0083287077812073552,0.22289111109953696,0.0091647644897683584,0.20573482555027925,0.0090067070180215314,0.21662869998755702,0.0068906439498007807,0.2371458317260379,0.0075127748549101937,0.22542589317665027,0.007020902962799766,0.19411029433743543,0.0080846193625549612,0.1952358098358466,0.0067946646480435482,0.19310137066702882,0.0069118235889162674,0.2639730132661367,0.0075880626653892632,0.20783983184273333,0.0042387987607747073,0.22930751474712749,0.008307672525442112,0.21763672218734262,0.0067916253566392424,0.21454542483674449,0.0080592251766323352,0.20255920079575643,0.0077062634782994631,0.19730024668554999,0.0072639676346104914,0.2548460199844822,0.0089089222567592021,0.21350233201074317,0.010081789054708483,0.16710566624758083,0.0084633807313842201,0.22674713478388539,0.0062582651039929348,0.2275279207962376,0.004333448615514806,0.21247044205913238,0.0093642663897758015,0.17889646322046007,0.0086810901051112138,0.21031811728342342,0.0091777319531380873,0.24672417267743263,0.010579338252730787,0.19269921674244511,0.0083265215243313352,0.24202454754398764,0.0049993396833162068,0.24383880792558932,0.0055693903023837834,0.24360371140499082,0.004153123079664746,0.23068107316801043,0.005280470593640829,0.24483905992195287,0.0066634895793367191,0.19734213006274492,0.0055426623468107141,0.26664712746292152,0.0054607213489381232,0.21476626256925854,0.0063289743373094124,0.20261379893501646,0.0087046688474776909,0.20833183247452391,0.0088542640395355785,0.20238472266428029
24.384,0.0073152030106446841,0.16963539593906082,0.010597440825840061,0.15985865040452954,0.010462066121514393,0.15519225442000181,0.0078038676417046407,0.17493973137423452,0.0057789267274727923,0.18129425972892121,0.010252678599719412,0.15880717220263205,0.011041321268191732,0.16429772643312615,0.010241911195275828,0.16019929627292903,0.011415484283682928,0.14906445389042566,0.0059026153283432371,0.17767770755031412,0.0087515110488767863,0.1512916203037192,0.010684710867794441,0.15076204742841492,0.0096368883332335134,0.17787372901222456,0.010709328235242227,0.15618079442340482,0.010344791100335418,0.16417492067640332,0.0082362417561080009,0.17131264384262118,0.0087167287757761794,0.20998879822653432,0.0081711868948668477,0.15783645064765589,0.0093155316929142713,0.15781852761021339,0.0078019265642148266,0.15196265171229467,0.0081721333236266461,0.17757769290402386,0.0089400469368360238,0.17349189750273394,0.0049734527570409704,0.18973901295384005,0.0098021430026229844,0.16523861831333808,0.0080683109608800409,0.17750133255062001,0.009195422332472402,0.15952001903478116,0.0087849544305593635,0.1526159497695759,0.0085491564108339576,0.18710854139277985,0.010476614521462545,0.15749176464543518,0.011548121689646227,0.13771545014389466,0.010043163772141577,0.17403940256565106,0.0074860427915377633,0.18126690496827377,0.0050444181405094974,0.18587527791995981,0.010438623720111817,0.15995235237906397,0.010208066634650912,0.1645469131478495,0.010955267981431,0.1766361491577523,0.012031223184442382,0.13459833802540899,0.0098338802836860847,0.15952647605058212,0.0059674838322947722,0.20559411451374507,0.0065667011362676997,0.17955713290194042,0.0049357466242657714,0.19828688974319222,0.0062146830774409238,0.1820786769925144,0.0073512539162087411,0.19696807939601702,0.0066721165773997032,0.25900380151017993,0.0064967168062291256,0.18616144259917686,0.0071864216833239878,0.16853382194183678,0.010186506364738453,0.15710738108383471,0.010458162351414745,0.16537086445484528
30.48,0.0079482770416751738,0.16748642951549553,0.011963880148803731,0.13527905564943143,0.011450019072175898,0.1583353978007257,0.0086720738148301415,0.16006656397480037,0.006327029657203811,0.13745714793877825,0.011345698904973046,0.11661245614894951,0.012290618714424682,0.15048708809167957,0.011809966888213719,0.12969116790176197,0.013016197857483175,0.13785644603697378,0.0065577784496969839,0.13603610176123701,0.0095251549511056847,0.14785444299898703,0.011857470964494141,0.14120907067813193,0.011175730733983277,0.16783621472835272,0.012058971023556285,0.13049986459949242,0.011891424814547103,0.15270501383573529,0.0090040721699210773,0.18092190352866538,0.010305180562507727,0.15835007427087952,0.0090311469423426608,0.15105578863576105,0.010539591508585026,0.13136678754040274,0.0084629158032403194,0.14656013823453837,0.0093028482905274882,0.1368733818176095,0.010105007729726133,0.12975643378616519,0.0056234046083462191,0.16521092282867722,0.011266673590951501,0.13052847495839323,0.0091916991717635906,0.14688680317826006,0.010431647787491142,0.1388733695704516,0.0099334834441263953,0.13315282221652364,0.0097951335439180748,0.15110506546249838,0.011704232863525316,0.14790693232684612,0.012718055480730333,0.13366151611394383,0.011529028250366544,0.14366901882115202,0.008379986887558805,0.16956675380148484,0.0057559539911516385,0.16056445059940672,0.011888508605443777,0.15536991006586068,0.011764390105180975,0.13322381243074657,0.012551575999145885,0.13103842170636407,0.013300688572998791,0.11662999138380119,0.010980973346992027,0.15121333701548126,0.0069235185256617962,0.17413337628764225,0.0072247928099098352,0.1646915327154338,0.0056675957154821771,0.1752345200149085,0.0069540671368084122,0.14575924819502409,0.0085047732505132197,0.19281278095034982,0.0078800443442191091,0.17119321763178338,0.0072218377826050199,0.16928416626551276,0.0081746996945839152,0.15391972896686998,0.011459972559099285,0.13208195726488484,0.011842681767043542,0.1286756707904439
36.576000000000001,0.0089699520256109819,0.17145974189729032,0.013285124912582222,0.11953766742479634,0.01300690579744866,0.16367811085344119,0.0098069674707354192,0.1552933016023203,0.006784253783696825,0.11957061126766062,0.012362459330857122,0.10487270583655002,0.013863625852336695,0.13792759510308886,0.012479241464332835,0.1631942651784794,0.014382911563740525,0.10842246651559938,0.0068869335249214375,0.16008405328193237,0.010659889309493641,0.13905658966453924,0.013332784730057825,0.14025454833033679,0.012691682842983706,0.13241874907403009,0.013372781172393274,0.11722519019752506,0.01342446905576916,0.12766043931841459,0.010342797631249883,0.18037215425950759,0.011424940885894793,0.11821617290683567,0.010126113993503657,0.13812050366105327,0.011535541224205336,0.10660414641012725,0.0094434672848061792,0.1527267783726812,0.0098590606550825934,0.15668634527081107,0.011059205630860427,0.11180354877953647,0.0062541066624317646,0.14592516947473377,0.011885624006036814,0.16122899498139678,0.010094170530030743,0.11227196730131377,0.011642577812243031,0.12088898412814339,0.011075797764646594,0.12041548434838863,0.011023968040651611,0.12730515814981683,0.013193917454369996,0.14269086290451233,0.01408438851700348,0.122230637517103,0.012744202794795448,0.11392602992881098,0.0095750775072763125,0.16461528610231582,0.0061149304150415629,0.17974715464187835,0.013221330416215194,0.11520530379965707,0.012476766467934015,0.15992065060136496,0.013303172208637984,0.14715900046187008,0.01464250737829885,0.10664720104555123,0.012382695891871588,0.14661038459823136,0.0076864742845708508,0.1334720297235189,0.0080302189434485506,0.15238656946476459,0.0063828247188139498,0.15343756636471179,0.0076706691210547467,0.13125455255188856,0.0097805333545836655,0.1498691505942529,0.0087981299827302132,0.1295743845385823,0.008074008843369361,0.15466729418533695,0.0091332342231642428,0.1293311996796121,0.01269765837457746,0.11790346152208925,0.012950346518181027,0.11699647720865401
42.671999999999997,0.010097076969620377,0.12390515084655251,0.014657652259455065,0.10551463449634671,0.014630500694182013,0.11844889103584064,0.01061106708971888,0.11688699361567711,0.0073015139292311121,0.11846847157118466,0.013305396969901647,0.092640308642763514,0.014928736487355581,0.10570425913094032,0.014058804609059367,0.17126122159594814,0.015614465468015978,0.092835525798790342,0.0076249416038360546,0.16521227385037371,0.011413185585224956,0.10684016047292282,0.014736362979204181,0.10597149867526008,0.013941824531371515,0.10389076278297397,0.01469373746480108,0.10242746721933038,0.014733666233359895,0.10200829892922376,0.011753171259113642,0.13114094224261938,0.012377866958547007,0.10122812310210812,0.010917490990211843,0.10093160564244236,0.012437184255113502,0.10094585358908172,0.010515807158207291,0.11568061402925559,0.010923684172106972,0.15634837049485575,0.01202767252833461,0.10674217218240103,0.0068277415296089921,0.12942413814093889,0.013339636853588436,0.16715263884581222,0.010974321257326877,0.11227276617285777,0.012691136346589457,0.10554670292239854,0.012045683740119707,0.10409385813712975,0.011988441909066323,0.10292672498722841,0.014632825232164311,0.10990745757636387,0.015513166075682584,0.10210386886070187,0.013914739940613517,0.098752986397742423,0.010414337015046805,0.12223563367666768,0.0068546774734764976,0.18229787685272469,0.014330517017705843,0.091260677739215756,0.014027757474344269,0.16531448988343678,0.014784098029470723,0.14993325136458219,0.015854504440436394,0.086949838662255835,0.013748055678027815,0.11149021882702929,0.0083158113713392018,0.11619582073462251,0.0088641387143226346,0.11956645874356923,0.0069883156255846511,0.13272553663719969,0.0084249103323309066,0.11749468160581111,0.010723446620886394,0.10717863787345622,0.0095883236956523718,0.11701748489821448,0.0089973222007028956,0.12872839777568298,0.0098998200900376945,0.1150265013541249,0.014001225490998729,0.10597112067695626,0.014213163821122919,0.11021060345945943
48.768000000000001,0.010822182224017854,0.083604563032353446,0.015872243358369734,0.087479856007613654,0.015738999864083246,0.0855671388366991,0.011349275559600991,0.10366438523693967,0.0075369732537955486,0.12243250673229197,0.014020125486678239,0.069052030321428148,0.015895821031230405,0.088479449910350755,0.015688785709794272,0.10862005017122121,0.016871680886694586,0.080917167691437794,0.0084543586714830449,0.12162196281430465,0.012032925913695199,0.09456692611251527,0.015867772781545393,0.080323785169471917,0.015100147997850474,0.090888063197869795,0.01588470856992617,0.086238412547400417,0.01588971751451777,0.084170285208035725,0.012622956049426684,0.095426248055383633,0.013276074023566894,0.087342199525193662,0.011599373970319269,0.096479545788126037,0.013441829494146322,0.097191396037601643,0.011185333418539469,0.0873831392352898,0.012031475639125429,0.10868079513202224,0.013035581597031394,0.09677145904847792,0.0073939382351804212,0.12663692454791278,0.014820916078462287,0.10445858561709058,0.012075860559200282,0.11649455273137165,0.013602395466544686,0.089966001710466176,0.012906036193161297,0.088917635326813238,0.012814119867249599,0.093291510583173934,0.01578812019324714,0.084112398615453263,0.016545364927057795,0.074462752023249271,0.015113162331862275,0.092855974535858421,0.011179000924509786,0.1065695727914158,0.0076145295033209215,0.1305634256649186,0.015099477221018445,0.082443125066529857,0.015624790659843629,0.1073225982423778,0.016395879855758837,0.1018533374931519,0.016778539554006537,0.06003164615833359,0.014929201492065117,0.089854894500854793,0.0090331147370237546,0.1154624502611913,0.009542660554580298,0.10472172884158676,0.0075309836844279247,0.11596207485558443,0.0089654345903614329,0.10012184158438492,0.011421118055947832,0.091836121795646569,0.010328504440475521,0.094284388531991628,0.0096807090454999432,0.11111592261679144,0.010578945917724932,0.091227702249743747,0.015167645532188764,0.09157109576227368,0.015507575433135731,0.095741321931653328
54.864000000000004,0.011361669112362895,0.080215406216715829,0.016878806384879545,0.0636195128886725,0.016608580754092783,0.067344170082060714,0.012370671997514158,0.10189713982522999,0.0079225573007998991,0.11565711877138164,0.014562271094116596,0.086269074473078924,0.017241869105613851,0.080050759711853409,0.016664594926846115,0.069910835064312643,0.017722758472811035,0.066790726348910076,0.008961968266052325,0.088373409146691714,0.012898226492600758,0.084855944463413421,0.016635729205306208,0.068001505335747114,0.016158251967602611,0.074149682221009372,0.016828047173989138,0.059369115792919196,0.016933357240560002,0.064719620480872611,0.013364179660124036,0.081817798966701466,0.013861059393542595,0.079671703110732101,0.012488971828034984,0.093395617931085043,0.014244557581721745,0.073017387854060339,0.011592281442314315,0.077745253570291939,0.012722115580778176,0.076903308506498846,0.013930821363833395,0.081063414408037132,0.0077984139406914411,0.10304759431544812,0.015699136742316135,0.072475354042614654,0.012844467065450834,0.083977035773362019,0.014360208693170983,0.068134971079912218,0.013571366914734885,0.069691975887058069,0.013723991471811536,0.089487462567641549,0.016675878514636196,0.066651580043358888,0.017307075495166756,0.05784198582931542,0.016179646412854357,0.076259898304002371,0.012223894862911765,0.10675091214716403,0.0080579178103918677,0.099886453777869227,0.015929592074308746,0.06890488746856413,0.016589014284962209,0.071290217699389535,0.017409361059789619,0.061797103616173632,0.017396476517385656,0.069074612234048538,0.015711668796525361,0.079647887472069745,0.0097412305643940992,0.11215067430672448,0.0099648809989933522,0.098367802846516375,0.0080490804535099172,0.10532501220685428,0.0094740205657633074,0.098152776804089625,0.012130759178659342,0.082621924692628482,0.010715673982441415,0.072625079102593817,0.010292359613073549,0.082954182170926066,0.01107441856031161,0.061901122711574441,0.016074827020075941,0.065099155931696545,0.016471266069661223,0.067890222938908021
