Calendar days since BOC,18,,,,,,
Core Burnup [MWD/MT],38.7,,,,,,
Inlet Coolant Temperature [F],554.27499999999998,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,741.7,792.,229.,228.,228.,158.,230.
1,702.7,798.,229.,228.,228.,159.,230.
2,680.1,795.,229.,228.,228.,159.,230.
3,697.3,805.,229.,228.,228.,160.,230.
4,704.1,809.,229.,228.,228.,160.,230.
5,710.6,802.,229.,228.,228.,161.,230.
6,692.6,800.,229.,228.,228.,161.,230.
7,698.6,802.,229.,228.,228.,161.,230.
8,659.3,798.,229.,228.,228.,161.,230.
9,698.0,806.,229.,228.,228.,164.,230.
10,677.8,800.,229.,228.,228.,165.,230.
11,670.9,803.,229.,228.,228.,165.,230.
12,675.7,809.,229.,228.,228.,165.,230.
13,688.2,800.,229.,228.,228.,165.,230.
,,,,,,,
Average Power [MWt],692.6857142857144,,,,,,
Average Boron [ppm],801.3571428571429,,,,,,
