Calendar days since BOC,0,,,,,,
Core Burnup [MWD/MT],000.01,,,,,,
Inlet Coolant Temperature [F],558.875,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,25.00,973.,228.,228.,228.,213.,230.
1,24.40,964.,228.,228.,228.,213.,230.
2,24.80,964.,228.,228.,228.,213.,230.
3,24.80,991.,228.,228.,228.,213.,230.
4,25.05,969.,228.,228.,228.,213.,230.
5,25.25,972.,228.,228.,228.,213.,230.
6,24.50,962.,228.,228.,228.,213.,230.
7,24.70,977.,228.,228.,228.,213.,230.
8,24.60,984.,228.,228.,228.,213.,230.
9,22.10,984.,228.,228.,228.,213.,230.
10,24.20,981.,228.,228.,228.,213.,230.
11,24.50,986.,228.,228.,228.,213.,230.
12,24.00,956.,228.,228.,228.,213.,230.
13,22.90,986.,228.,228.,228.,213.,230.
14,22.20,986.,228.,228.,228.,213.,230.
15,22.00,991.,228.,228.,228.,213.,230.
16,22.70,989.,228.,228.,228.,213.,230.
17,23.10,973.,228.,228.,228.,213.,230.
18,26.50,933.,228.,228.,228.,213.,230.
19,24.00,984.,228.,228.,228.,207.,230.
,,,,,,,
Average Power [MWt],24.064999999999998,,,,,,
Average Boron [ppm],975.25,,,,,,
