Calendar days since BOC,65,,,,,,
Core Burnup [MWD/MT],2111.1,,,,,,
Inlet Coolant Temperature [F],561.02500000000009,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3421.2,809.,228.,228.,228.,223.,230.
1,3420.6,809.,228.,228.,228.,223.,230.
2,3414.3,809.,228.,228.,228.,223.,230.
3,3422.2,809.,228.,228.,228.,223.,230.
4,3419.9,809.,228.,228.,228.,223.,230.
5,3417.1,809.,228.,228.,228.,223.,230.
6,3422.0,809.,228.,228.,228.,223.,230.
7,3418.5,809.,228.,228.,228.,223.,230.
8,3417.0,809.,228.,228.,228.,223.,230.
9,3412.0,809.,228.,228.,228.,223.,230.
10,3412.5,809.,228.,228.,228.,223.,230.
11,3404.7,809.,228.,228.,228.,223.,230.
12,3413.1,809.,228.,228.,228.,222.,230.
13,3416.4,809.,228.,228.,228.,222.,230.
14,3416.5,809.,228.,228.,228.,220.,230.
,,,,,,,
Average Power [MWt],3416.5333333333333,,,,,,
Average Boron [ppm],809.0,,,,,,
