Calendar days since BOC,13,,,,,,
Core Burnup [MWD/MT],226.6,,,,,,
Inlet Coolant Temperature [F],560.42499999999995,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3406.7,985.,228.,228.,228.,202.,230.
1,3411.6,985.,228.,228.,228.,202.,230.
2,3419.9,985.,228.,228.,228.,202.,230.
3,3417.3,985.,228.,228.,228.,202.,230.
4,3418.5,985.,228.,228.,228.,202.,230.
5,3419.3,985.,228.,228.,228.,202.,230.
6,3411.1,985.,228.,228.,228.,202.,230.
7,3396.6,985.,228.,228.,228.,202.,230.
8,3416.7,985.,228.,228.,228.,202.,230.
9,3408.4,985.,228.,228.,228.,202.,230.
10,3393.0,985.,228.,228.,228.,202.,230.
,,,,,,,
Average Power [MWt],3410.8272727272724,,,,,,
Average Boron [ppm],985.0,,,,,,
