Location,K12,uncertainty,D10,uncertainty,D12,uncertainty,H03,uncertainty,H02,uncertainty,L10,uncertainty,H06,uncertainty,H04,uncertainty,F07,uncertainty,F01,uncertainty,G09,uncertainty,F03,uncertainty,G05,uncertainty,F08,uncertainty,E11,uncertainty,A11,uncertainty,R11,uncertainty,E09,uncertainty,G12,uncertainty,L11,uncertainty,M07,uncertainty,N08,uncertainty,L15,uncertainty,N04,uncertainty,J14,uncertainty,N06,uncertainty,J10,uncertainty,N02,uncertainty,K02,uncertainty,H13,uncertainty,D03,uncertainty,K06,uncertainty,L08,uncertainty,H11,uncertainty,L05,uncertainty,E05,uncertainty,H15,uncertainty,D08,uncertainty,C08,uncertainty,B03,uncertainty,B06,uncertainty,B08,uncertainty,L13,uncertainty,C05,uncertainty,F14,uncertainty,C07,uncertainty,N13,uncertainty,A09,uncertainty,N14,uncertainty,R06,uncertainty,R08,uncertainty,J08,uncertainty,P04,uncertainty,J01,uncertainty,J07,uncertainty
0.0,0.0073568479138078138,0.17333048932161454,0.0070377116679373941,0.33067044501653586,0.0061035693773348809,0.2611664316556816,0.0072739090902673911,0.074428413463326251,0.0070315715595155592,0.24091037426266054,0.0070522524871356011,0.3034892460707771,0.0080174981843148339,0.23512976748711673,0.0060719717884346238,0.39209357527422167,0.0079883260335474587,0.21261087657896569,0.0043762979285536111,0.3709754236538888,0.0078468397482146166,0.29466004898581499,0.0058967193497414354,0.35555766395140581,0.0080839738110573527,0.20054036183135188,0.0092713648840644699,0.24590380703228668,0.0063997307952309785,0.37087517977265522,0.0035655099529082446,-0.16515584518221671,0.0025665757831470101,0.39039051156413834,0.0093411959209966679,0.2421273587649358,0.0069447554571282948,0.31959722899954102,0.0063980114174721509,0.36847775284318107,0.0082575590229451261,0.22680875794864025,0.006903813535517723,0.32153886136007165,0.0036093084215652873,0.25556641372989963,0.0062835851889240556,0.30251562667638376,0.0045746758948291399,0.74671931113862633,0.0066686101869151779,0.28108104694705116,0.0081078039549905903,0.23528751764638769,0.0030734452700636634,0.31669258524823823,0.0082920400459096742,-0.11816379032335186,0.0070680071246985946,0.31188868566267114,0.0073343976354467268,-0.0091366759151185126,0.0078548305207030988,0.23171735787682146,0.0073608538450430716,0.30538899775468781,0.0067446374918500758,0.55722593114792496,0.0066830054352078573,0.33406005038872488,0.0049800044623458436,0.64183274009343039,0.0050682822151476908,0.41384605133216212,0.0073034310621468684,0.28550472221727086,0.0067008496913911857,0.38500915674482761,0.0036817033856099335,-0.080961471623127071,0.0073170012614627473,0.14881759362679842,0.008987557176237556,-0.13362662737884662,0.0070329317907940362,0.3162434459693485,0.0066338319940466598,0.36514931736228257,0.0063156206988171865,0.35900108664423075,0.0075103263348509936,0.30946816609868422,0.0052479971212369778,0.29733999169501246,0.0047514528597898866,0.26158731594202211,0.0028423555868142538,0.14283430814402692,0.0044215823800978233,0.30738127278225935,0.0047099156546940623,0.4684148555674027,0.0084070923559561462,0.22268709753086152,0.0042158014585679969,0.14923843925655156,0.0043008279003732847,0.38568964399750638,0.0086726727547166947,0.17580004276998507
6.0960000000000001,0.0083363765550846375,0.27128221207136821,0.0099244196077550514,0.28245415570338961,0.0074864082172533368,0.24333870872334873,0.0076021897346172269,0.27887789422702136,0.0084092015402541364,0.24771391710963481,0.0088408313129584824,0.22767865593741912,0.010367005980645416,0.21617300703906847,0.0088192881542872668,0.20980064847506569,0.0095841131073777803,0.17327510800893881,0.0065015205739612529,0.31875848560252196,0.010120576472713529,0.25124693736951487,0.0077566857232403679,0.27106973275265328,0.0096909578221655111,0.20652169696302175,0.011669532620159155,0.21864929085496743,0.0091823352231623218,0.28849931358795655,0.0030877776987455847,0.41120343767148221,0.003618534687114493,0.30398904119120518,0.011664405660545727,0.21478978237925961,0.0089086361377060577,0.22777968260121759,0.0089000679187599772,0.27861803820076875,0.010252012537335044,0.21004889679609937,0.0096505908859029002,0.26818912631841185,0.0044290435467060065,0.21790150484057572,0.0079084456207789266,0.22043320987140358,0.0072771463619591761,0.41037853462049478,0.0082249547448192961,0.25338747718907817,0.0099481352077148109,0.24181833009468739,0.0040175070537359541,0.25798031167667829,0.0073532222255030272,0.37318385638369495,0.0089966606586121163,0.24258861246231578,0.0072031337608931727,0.27470963668162784,0.0095618965906725476,0.24989410678545587,0.0096822866212081162,0.2530234285045605,0.0090388155708366995,0.29656569663808391,0.0097074942817369728,0.29170674039152,0.0073116327397243193,0.35244230596824727,0.0073806074888704996,0.30446915162603916,0.0090999623926053402,0.27741670026366028,0.0095124051647610466,0.28936276536047861,0.0033822346272712684,0.35229888802514658,0.0080817285834365298,0.26291012998365759,0.0082331431427309608,0.3302313205785542,0.009547306810072138,0.25797246058575257,0.0094108366097695687,0.27598382208182037,0.0084076318300651126,0.25489630452327527,0.0097723072796088231,0.25677258262448382,0.0069810734878136818,0.25759193260707103,0.0059502663482673733,0.33522057239602299,0.0031736492783707715,0.31147907473710684,0.0055859176165882667,0.30410734026305869,0.0074631741665585902,0.34467717093817363,0.010130564242648642,0.26157108395854417,0.0047969109655804226,0.32425851286401941,0.0059916318741550694,0.29450327444231439,0.01020324313975917,0.21907003523254806
12.192,0.010609968397104565,0.25986306392909819,0.012037680216614189,0.20278148782547883,0.0091958089728064029,0.23346635262615659,0.0096940094246390687,0.28003987039830475,0.010486767693954001,0.22901670761262555,0.010870679197811449,0.20230184322691119,0.011919476634519099,0.18320202821795273,0.0096300153300929916,0.3020996108027631,0.011156087396447426,0.18032933156378522,0.0078695019658450941,0.19373458516839037,0.012611822815846219,0.21981936295991883,0.0098705155329000416,0.23135910142317065,0.011563938271865802,0.2043544993977244,0.01383412990308195,0.18558433587323192,0.011125926543581173,0.19823027124549178,0.0044041176876563996,0.42222308495311373,0.0045654719426615172,0.23496764167008738,0.013840430001191823,0.18584032060227682,0.010832054886614984,0.20884772634545662,0.010960033368244502,0.20823072185662606,0.012155236281500999,0.18114865313363968,0.011579049381803853,0.19265609994279351,0.005289752827295555,0.19277795252623156,0.009629549349038341,0.18573852260847024,0.010243479671913747,0.29290587884773561,0.010336744339137329,0.22918355991145434,0.012341033725692544,0.2208391187986139,0.0049345043767229941,0.21485949664847698,0.010246121900622717,0.38885158396484426,0.011129991558224717,0.21167238955900852,0.008928577660237658,0.27087950598568267,0.012006730751692752,0.23179273338352907,0.011960822482889112,0.21422968267468803,0.011419265841554395,0.21940580047128588,0.011595696222616636,0.19382540490704253,0.0097166408337909186,0.25457025166204622,0.0092326719485818602,0.21240861514475853,0.011621249813909468,0.24672171118659886,0.011748802344343867,0.21259043844144257,0.0046013974106332498,0.36691529542286777,0.010240742529852994,0.25881223317209029,0.011179588608782374,0.36013231286090142,0.011606924990468318,0.19985231413670174,0.011310344235263928,0.207808483831423,0.01046367768399205,0.21117995524795566,0.012265986059390669,0.22305796911608705,0.0083203092283395588,0.19370608926498439,0.0078401159930547616,0.27845780247291751,0.0041556836475773774,0.29861563261307728,0.007333144693320446,0.26135910575350829,0.0093367325133518163,0.21489839975076705,0.01291060351118975,0.23592786694687437,0.0062761294957802919,0.30393614106636507,0.00754140666100446,0.24304274062262715,0.012350905061682385,0.21021508458325391
18.288,0.012749957492988647,0.18983607654957493,0.013725249646575375,0.15436643054847971,0.011468908576101122,0.21411201560255033,0.011863779387285896,0.20030393113210501,0.012394178662225528,0.17908416552146228,0.012429293606585748,0.16456295013094638,0.013229177294431736,0.14566038746519772,0.012311798773254305,0.32061222439147957,0.012707429692352501,0.16974618913993461,0.0089885581047723182,0.13064437931205758,0.014579166423014763,0.15478379717894133,0.011639384005932807,0.17957822939968532,0.013890988963216251,0.18856093885506836,0.015405759491773668,0.11731119676201941,0.012657118932265751,0.15419298955472838,0.0053613076088896341,0.22170725279305811,0.0053487495689082147,0.18250306490402796,0.015436692466312948,0.11860117451130964,0.013130497407192679,0.19478840769088637,0.012807677094181092,0.17223062254666113,0.013480370822587521,0.1448777374695443,0.013212427930071283,0.15527429498476156,0.0059168840012047436,0.16244367758171058,0.010978465989859352,0.15866324212345395,0.012187157444309609,0.18861497456698811,0.01203853118714527,0.16997277391400789,0.014064154097933683,0.16094790993045163,0.0056530724831516492,0.16811413582582024,0.012310898482821601,0.20290415625449662,0.012920829127878468,0.16307260059161394,0.011188534143988522,0.20900574535722674,0.013871262791374357,0.17192897083531339,0.014079140220377425,0.16687014000377287,0.013463253541350927,0.18116869995256663,0.013025149232521259,0.14339064653450423,0.011834927626270702,0.20347782922855023,0.010794194147226134,0.16711908123927732,0.013763301980374175,0.18220865994319541,0.013394526314181121,0.14933452108375631,0.0054739703672315246,0.20198554856611564,0.012085514466435297,0.17597953908052197,0.013236071685736414,0.18827316492195159,0.013170488090105917,0.15238350953125554,0.013405410071241394,0.16993839387644283,0.012282020601764896,0.17576723806294256,0.014050503709647815,0.1599169290583532,0.0095041642915799449,0.16481561863242303,0.0098345475880816258,0.2069716825329346,0.0049804185328127474,0.19370413932705607,0.0081990029747773113,0.20933720037567494,0.010691074516283665,0.15165807872764903,0.014235770867088377,0.18486238686240114,0.0079503135497806729,0.21676971740484749,0.0094349972224291503,0.20667961461133902,0.014245716377417119,0.15223287362885393
24.384,0.014369870275982344,0.13557770148978543,0.015122657700480827,0.11925974913857815,0.012537214133175902,0.17976969989283964,0.013262066008478249,0.13740160115957001,0.013843388545336083,0.14121147911431628,0.013992036854989676,0.13658533165198358,0.014572184835369069,0.12211199919871812,0.014356155068606201,0.17565230644125462,0.014335223136044845,0.14251968295193532,0.010010055188728854,0.1195595607677104,0.015956267447711697,0.097303281854054402,0.013177988531730484,0.15000225896807784,0.014993643624363761,0.14726609776063782,0.016496222415573799,0.073091874342815652,0.014171063678121865,0.12986968958707537,0.0059488152463497675,0.15764429567925697,0.0060066928407113964,0.15386719390217882,0.016541841326714418,0.07372875533250757,0.014206951201222069,0.16232712789039166,0.014242558295326004,0.12424701870029742,0.014849570720114266,0.11242265029737769,0.014434151545607697,0.11148296759064939,0.0065912068747232162,0.1445797838514386,0.012088873424910836,0.14391285889789329,0.013202621999918734,0.12237507014147252,0.013325844511831919,0.13504864636241673,0.015488827622678471,0.11198618410904136,0.0062090303998380949,0.1395653813792713,0.013531030508261705,0.14028912304469593,0.01374571765471405,0.1370270717882508,0.012675462885892427,0.15242809891946238,0.015597856329670371,0.11711474462723402,0.015399659166847959,0.10828991050994019,0.014949411554121108,0.12419121658116285,0.014426846912712218,0.12325471214132952,0.013414231616331731,0.15199302371811302,0.012050756308123372,0.14119850366369591,0.01524909818143293,0.1217710493930146,0.014167497659485382,0.1295805260593548,0.005990096214531177,0.14523308805930293,0.013330611473604663,0.136291097854357,0.014338931238780186,0.11472253932486071,0.01448062979706119,0.11752778362793471,0.013930850439190533,0.17908759004759447,0.013663158852271281,0.13929065024059548,0.01523821345006993,0.11079380527525616,0.010902677025158384,0.16555239553984741,0.011217850702484633,0.15115569982736751,0.0055317727379610845,0.15416694355173238,0.0094305218881716533,0.18543752988866299,0.011838689400932263,0.13497574694221082,0.015780315693267877,0.14723259439948652,0.0093289116661076053,0.160799522688305,0.010341505346786035,0.18725363856727451,0.015545619509220916,0.093435499087719961
30.48,0.015706047360947748,0.09669335937675709,0.016218310906827318,0.081326996007020688,0.01388303356437892,0.16344653487510394,0.013913756534089397,0.12042031048397672,0.014935876363021471,0.10501656105973531,0.014398766110862504,0.14041183673824881,0.015958121084119248,0.10102760276446836,0.015381949311716414,0.096486585438352243,0.016074771026876638,0.11863568211967426,0.010827066443205515,0.11401630804398287,0.016968629904100762,0.067023151701555872,0.014416411526371633,0.1124057832194586,0.016355288949235512,0.11851190991052984,0.017173876395513717,0.049993797768629604,0.015350228913245291,0.099881860583323656,0.0065987903477926395,0.14574857408904424,0.0065206234001832951,0.13461394493757839,0.0173042154979971,0.05382106463756943,0.015515128630915746,0.12970387107150355,0.015305999104600961,0.093297070282911149,0.015211310266922738,0.10837315498238803,0.015269124517620202,0.083524867752219303,0.0067661616462895893,0.1484211427753091,0.013374332228654225,0.14076333422025819,0.014133911697063076,0.11894333408252908,0.014551113970931052,0.11106505838053775,0.016529612425486635,0.070667532809313885,0.006610962246060486,0.12819062201819106,0.014821228740339171,0.11387500851962215,0.01486007967366413,0.12284919745616664,0.013738974826610951,0.12578692772252745,0.016080892196860465,0.10972154858886263,0.016247454479043084,0.068855089906309744,0.015917729990626243,0.075593957477624513,0.015527818384179373,0.083714439294163834,0.014530211475115009,0.10245352349187363,0.013092919650638669,0.12071461578514733,0.016167667021212893,0.078741815723806952,0.015218343803676199,0.11682235111935291,0.0065524853540371965,0.13802585383466304,0.014737224237840591,0.1238799822805582,0.015518758507571295,0.086737984313395536,0.015576379321927505,0.083413757163639024,0.015453505305508238,0.16456328742226395,0.014775885051965242,0.10331890208963522,0.016544755420306402,0.089517061873388051,0.012435768401091242,0.15547596331221319,0.012239549432316468,0.13106013295360358,0.0061884132088642846,0.15521621562509616,0.010518892182780088,0.13283903245933343,0.012722480419987837,0.11746601651789068,0.017212694389264933,0.082047381959027263,0.010482939843933045,0.13714034362727506,0.011610636882681909,0.17773468305222906,0.016265446246000591,0.063891961658555763
36.576000000000001,0.016742998088767939,0.067095864108390205,0.017014957925198481,0.055666741029865283,0.015239854894351028,0.11265706301844468,0.014788465395650756,0.10721262418565036,0.0157490258209355,0.067660861592386976,0.015427155912359757,0.1202847811655008,0.017033731071272429,0.069602450218183898,0.016427947676626711,0.069918014167822423,0.017422193053587727,0.080930447141626588,0.011475278002980521,0.10818565724149465,0.017611005843352102,0.043576150832743771,0.015303329644855028,0.085770184621918891,0.017529671818744815,0.065944575678932471,0.017692424008661941,0.039213117611044186,0.016177081506482355,0.069976226022033863,0.0070659093037898479,0.12670885772484525,0.0069287582665302997,0.12280282747571943,0.017984060853082871,0.04625366101541311,0.016675000736707614,0.072765299992395352,0.0160501549779648,0.069500942383180428,0.016148347355984166,0.1021652494158917,0.015863597775669772,0.059711013906761187,0.0072468624676811149,0.14974026564293141,0.01477749184801392,0.12168830307502618,0.015120707721477241,0.10186361797684504,0.015493728768461773,0.088065327595587328,0.017295331140846682,0.053500333660328095,0.0070147489055775569,0.12442105419865994,0.015679435593799702,0.070097756573107489,0.016135828733279539,0.087464840212418182,0.014984429236597012,0.11534975727739902,0.017268488047682995,0.11060515791387707,0.017113117659292274,0.057027543894381673,0.016673862111613116,0.056394972485702369,0.016352280285911406,0.061071287485313167,0.01507747094266145,0.087874314453317254,0.013744039669137469,0.10621505402803713,0.017033833847500398,0.062480287241325171,0.016350555473023259,0.07897604503422577,0.0069578005170014435,0.12282288876954513,0.015735382981472885,0.077685217174727636,0.016317018710817224,0.06039501302146115,0.01645983899516705,0.063392090634539905,0.01650476074718351,0.095723851372366789,0.015455122051632837,0.081594976162242913,0.017447773399977631,0.055825502323110773,0.013808858982784175,0.13768909532434062,0.013431372451079303,0.13033221750475826,0.0066934036757600119,0.13294843890056987,0.011026985479352592,0.10340245483023069,0.013454825650777815,0.10647035365499989,0.017706634366093505,0.042666911309246353,0.01123420011905967,0.12567105866427841,0.012885067963841614,0.13364423074930951,0.016939085056586149,0.054545198462088287
42.671999999999997,0.017447418542278853,0.048619046214696503,0.017667083020754322,0.045223560334995069,0.015841957134366595,0.060518569180161214,0.015738271426571596,0.072586947342003993,0.016230458533656011,0.048532775781882934,0.016127987802893293,0.067113286958293203,0.017575252893479641,0.039220171943758396,0.017061395110181281,0.047084787987583428,0.018129518927030172,0.045825551846934619,0.011843834923225719,0.096818561359789029,0.018004020322777828,0.033661339680116989,0.015864653451257555,0.058449050902053969,0.017947778006862113,0.036949554945773212,0.018012783934453644,0.031178258179176684,0.016810608275538583,0.045744944685364296,0.0073685313931555101,0.11719000661973873,0.0071719593351838272,0.11588571432425361,0.018414316766741493,0.032952248969297757,0.017105249692081811,0.041499753439464403,0.016783735677653705,0.052610052441983628,0.016815716978138284,0.058061541590018084,0.016401487776468902,0.048148315237976427,0.0075932067951273814,0.1253511708194828,0.015924057734753444,0.084638621078185275,0.016166985563775806,0.08023104253089898,0.016152493376392039,0.062031543274128791,0.017870219620486721,0.042599975518762725,0.007342900387125143,0.11753057181948244,0.016179882108164765,0.05006713756363363,0.016797874275002019,0.053674081153815688,0.015876524552231243,0.071174108332561895,0.018114391273285048,0.065230769552397913,0.017585652565407311,0.040770509041086693,0.017258092722087715,0.045677027798978684,0.016998280083436998,0.046182656720090684,0.015864416454458703,0.080305556197129382,0.014341895774434935,0.10462064602389669,0.017777144581202196,0.049647611116321495,0.01695368612208302,0.043841297293025751,0.0072202277813019104,0.11555054414788155,0.016415689127267308,0.051331851496819077,0.016795624377271681,0.047652184945434155,0.017133868732118123,0.049580764990222181,0.017174179743274967,0.06775184608481917,0.016082898755922236,0.064153638922424747,0.017980832147750758,0.038337692032130874,0.014720629033932071,0.095504363980968815,0.014308105727142705,0.11308475564423937,0.0070738731537153829,0.11944046365120764,0.011572109503315388,0.10361934669895533,0.013896351938798785,0.097886273720431474,0.018164053640997171,0.037141143448537313,0.012092779782215844,0.12287186755658966,0.013469799809626084,0.10241708379400584,0.017576233517279483,0.042717504031348011
48.768000000000001,0.017929070564163055,0.03828099186080134,0.01812065743072622,0.036201806731174291,0.016373376339272838,0.048113591377708716,0.016283502872462611,0.049287024457957448,0.016646761374913537,0.042959663970806986,0.016487213822936737,0.047547716145596733,0.017789252789452984,0.027527540155608675,0.017374440189827912,0.03622445422328735,0.01844846733854456,0.027152336637732841,0.012133209060388861,0.095999053028591005,0.018263862732348441,0.026357796668881925,0.016338073307785569,0.045044150652148472,0.018387093646867574,0.033767636538520142,0.018098291504159602,0.035236706517357809,0.017301111087271545,0.038397074181926005,0.0075942250811486299,0.1131071793508617,0.0073996190025455537,0.11379113682001707,0.018638984259539405,0.02716874098167741,0.017552196242471618,0.036023968386573624,0.017301437069504742,0.040028279401138692,0.017106280681142502,0.037603024389756441,0.016737049195733909,0.040227016621921761,0.0078004560305362123,0.1145571389566349,0.016616279527837216,0.053413979814570897,0.016999097008155436,0.054792193326011304,0.016585392490956863,0.042055890360140999,0.018175539490033123,0.030281938413680577,0.0075131990933904802,0.11089144804009869,0.01656184991654153,0.042311747345367856,0.017108329852729059,0.030896630765311333,0.016426353541598163,0.048593583829770644,0.018586745790756583,0.042826136375761603,0.017694310273752345,0.023461311739806354,0.017677256451026972,0.033220725667636404,0.017470574474418177,0.037655839203061328,0.016755050076478858,0.056678770212297877,0.014930227523970318,0.082514155895295649,0.018158411107556477,0.031680460227365502,0.017267520703328931,0.031062195840034352,0.0074315940932316278,0.11263268094516114,0.016719336545917812,0.046147525117928127,0.017171448889391591,0.037848437381376471,0.017555781228751545,0.034777242687650166,0.017908164156310597,0.047359677388299826,0.016670168881427364,0.047575163810030789,0.018204319471069978,0.029084687586898597,0.015326832158649056,0.072183280426454194,0.014891938345471593,0.081932047367306346,0.0072348558059153849,0.11634424573634357,0.012092992915633455,0.10236675153722187,0.014277339716084523,0.095518200812084897,0.018455526621765122,0.0263502780379315,0.012802597676450289,0.10923365929553511,0.014004178232586106,0.099340466106186104,0.017897245669626229,0.030504148832720668
54.864000000000004,0.018216336557464571,0.031376449798655719,0.018268660130415969,0.026689762132578961,0.016929610196424801,0.041774466745529752,0.016533240738820551,0.040099489101842391,0.016917622611587517,0.039036090788091608,0.01676034865907796,0.037933593222309367,0.01762232469976921,0.031309866332146885,0.017611514528381871,0.028325693398520764,0.018365990408961027,0.023752198596227327,0.012257323174988012,0.093846034415419707,0.018300809115861405,0.033830603297671298,0.01658649230920407,0.041441595135197566,0.018658209823484016,0.031712937871953839,0.017686421280492994,0.041698936064557837,0.017554684883560368,0.030517625827264,0.0078651578812136119,0.11219042261976044,0.0075854368499584891,0.11057373149751097,0.018434748529427076,0.028527005899240725,0.017846832211405719,0.031204612878792386,0.017540692343099826,0.031127931012322398,0.017179345019117713,0.027435259237271151,0.016768155967105423,0.034791299275185004,0.0079323201412956901,0.10870595330054621,0.016931543718553741,0.038284015298398741,0.017340279893185543,0.034310550694205987,0.016754548394599594,0.034567926691792449,0.018248110137746604,0.029055368896710385,0.0075586267631187519,0.10799342655187483,0.016774681927045662,0.036239103225199888,0.017204405474995032,0.029682803525115008,0.016675863349378265,0.039348701399835199,0.018969068313658285,0.02960915070133879,0.017732756449797115,0.03455110232574287,0.017881343362344575,0.029865351284830352,0.017635109950843351,0.02868125763452916,0.017235378558593587,0.039042661864968603,0.015183161453200988,0.061839206803887714,0.018324568951955795,0.028945799441977116,0.017370280677761647,0.032356889697831244,0.0076014175847428263,0.1101226760108794,0.01713506712894981,0.040975833869205051,0.017405706829421504,0.030430258405551604,0.017766484120780423,0.022902877921715664,0.018088271500092321,0.026059761054525767,0.016949564358327847,0.037383363109618692,0.018389127688701799,0.023837233931235668,0.015689892465357905,0.066338894758112596,0.015156626203920222,0.065452568087126697,0.0074605429496665317,0.11567668375806753,0.012378743605187944,0.096326726249098632,0.014491917059089759,0.090993222851263211,0.018403164886853968,0.033581719111984737,0.013209539257543734,0.09908628418322489,0.014537063884869382,0.097328226522236327,0.017903696369662939,0.027883499684714829
