Calendar days since BOC,504,,,,,,
Core Burnup [MWD/MT],12341.2,,,,,,
Inlet Coolant Temperature [F],560.57500000000005,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3400.5,120.,228.,228.,228.,215.,230.
1,3399.6,120.,228.,228.,228.,215.,230.
2,3409.3,120.,228.,228.,228.,215.,230.
3,3399.6,120.,228.,228.,228.,215.,230.
4,3402.8,120.,228.,228.,228.,215.,230.
5,3403.9,120.,228.,228.,228.,215.,230.
6,3401.3,120.,228.,228.,228.,215.,230.
7,3410.6,120.,228.,228.,228.,215.,230.
8,3400.2,120.,228.,228.,228.,215.,230.
9,3402.4,120.,228.,228.,228.,215.,230.
10,3407.5,120.,228.,228.,228.,215.,230.
11,3404.6,120.,228.,228.,228.,215.,230.
12,3407.5,120.,228.,228.,228.,215.,230.
13,3400.3,120.,228.,228.,228.,215.,230.
14,3405.0,120.,228.,228.,228.,215.,230.
15,3402.2,120.,228.,228.,228.,215.,230.
16,3402.7,120.,228.,228.,228.,215.,230.
17,3398.9,120.,228.,228.,228.,215.,230.
18,3410.8,120.,228.,228.,228.,215.,230.
19,3404.5,120.,228.,228.,228.,215.,230.
,,,,,,,
Average Power [MWt],3403.7100000000005,,,,,,
Average Boron [ppm],120.0,,,,,,
