Calendar days since BOC,251,,,,,,
Core Burnup [MWD/MT],4613.5,,,,,,
Inlet Coolant Temperature [F],560.92500000000007,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3405.6,520.,228.,228.,228.,193.,230.
1,3401.3,514.,228.,228.,228.,193.,230.
2,3390.2,520.,228.,228.,228.,193.,230.
3,3400.3,516.,228.,228.,228.,194.,230.
4,3390.2,523.,228.,228.,228.,194.,230.
5,3397.6,516.,228.,228.,228.,194.,230.
6,3408.7,514.,228.,228.,228.,194.,230.
7,3402.3,514.,228.,228.,228.,194.,230.
8,3397.6,516.,228.,228.,228.,194.,230.
9,3394.9,519.,228.,228.,228.,194.,230.
10,3392.5,514.,228.,228.,228.,194.,230.
11,3391.4,520.,228.,228.,228.,194.,230.
12,3395.2,514.,228.,228.,228.,194.,230.
,,,,,,,
Average Power [MWt],3397.5230769230766,,,,,,
Average Boron [ppm],516.9230769230769,,,,,,
