Calendar days since BOC,42,,,,,,
Core Burnup [MWD/MT],1408.3,,,,,,
Inlet Coolant Temperature [F],556.42499999999995,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,2221.1,846.,228.,228.,228.,175.,230.
1,2221.5,846.,228.,228.,228.,175.,230.
2,2214.5,846.,228.,228.,228.,175.,230.
3,2213.2,846.,228.,228.,228.,175.,230.
4,2219.3,846.,228.,228.,228.,175.,230.
5,2211.3,846.,228.,228.,228.,176.,230.
6,2201.7,846.,228.,228.,228.,176.,230.
7,2221.7,846.,228.,228.,228.,176.,230.
8,2237.1,846.,228.,228.,228.,176.,230.
9,2202.1,846.,228.,228.,228.,176.,230.
10,2221.2,846.,228.,228.,228.,177.,230.
11,2220.6,846.,228.,228.,228.,177.,230.
,,,,,,,
Average Power [MWt],2217.108333333333,,,,,,
Average Boron [ppm],846.0,,,,,,
