Location,D14,uncertainty,K12,uncertainty,D10,uncertainty,D12,uncertainty,H03,uncertainty,H02,uncertainty,L10,uncertainty,H06,uncertainty,L13,uncertainty,F07,uncertainty,F01,uncertainty,G09,uncertainty,F03,uncertainty,G05,uncertainty,E11,uncertainty,A11,uncertainty,R11,uncertainty,E09,uncertainty,L11,uncertainty,M07,uncertainty,N08,uncertainty,L15,uncertainty,N04,uncertainty,J14,uncertainty,N06,uncertainty,J10,uncertainty,N02,uncertainty,K02,uncertainty,E05,uncertainty,K06,uncertainty,L08,uncertainty,H11,uncertainty,L05,uncertainty,H13,uncertainty,H15,uncertainty,D08,uncertainty,B03,uncertainty,B08,uncertainty,G12,uncertainty,N13,uncertainty,A09,uncertainty,N14,uncertainty,R06,uncertainty,R08,uncertainty,J08,uncertainty,P04,uncertainty,J01,uncertainty,P09,uncertainty,J07,uncertainty,B13,uncertainty
0.0,0.0040607760648064479,0.14648141646457849,0.0053132997027009353,0.43355868824671756,0.0060530534164122199,0.373020466327525,0.0059795105973684268,0.36784981430604474,0.0048567619442174128,0.39799511944306504,0.0054270912866416611,0.41069719545355782,0.0046969045980659319,0.46972311165199826,0.0059513011448863173,0.32326280673586161,0.0046021855539963314,0.50970578037166936,0.0056116798791803965,0.35047619789954054,0.0028307539115620096,0.3680383269739621,0.0055688981823954469,0.42024864852145216,0.0041008000696292702,0.48111224117122386,0.0063027598982446503,0.39457912555260427,0.0072097660660724872,0.3485167190979182,0.0022868372323396262,0.39365313351781589,0.0022799142112691741,0.40517679400244178,0.0068539010833819887,0.38304990625703933,0.0051806047212916619,0.52107051043663422,0.0049971168448516064,0.42835054947706319,0.0041173152279321635,0.44022942984259367,0.0024353019516391784,0.42683762346428183,0.0047619595535188415,0.38476001876343946,0.0065298864965528999,0.022040477725712326,0.0040097623188953338,0.37585419165321321,0.0050089551998621544,0.37148471596787142,0.0025980614876018882,0.3759178791315318,0.0048001955276603635,0.47841873852469602,0.0065133458349983719,0.38874294531988041,0.0056332377535558628,0.44697946392739202,0.0047050994570615144,0.43247755513046632,0.0054064136403680803,0.5323505492852455,0.005662323264285154,0.3614619716500671,0.0041845907085204543,0.44229447922076853,0.0034526746811544494,0.37184594097196111,0.0055393056188362813,0.42870095036118644,0.0024292128308684071,0.41835088702553275,0.0054163576798364459,0.44282713343282609,0.0058855323410136294,0.28151720592742441,0.0034082870905025398,0.38169598633213864,0.003260557804063707,0.37482483687510743,0.0026490703564655545,0.38777536962389303,0.0030384076128513854,0.20724449785841687,0.0032289978005657482,0.23229319137010054,0.0047660034228219281,0.27004037937054404,0.0035254734226686526,0.26256588995558128,0.0034608704946008902,0.37293423771420253,0.0041718423994353306,0.18590430826545931,0.0058031190844935509,0.41541574819611099,0.0024465893252306439,0.4349754615287032
6.0960000000000001,0.0045345152498803788,0.27641886607800237,0.0079456497895211871,0.32807233805189184,0.0085327766301691206,0.26326824241569602,0.0079808626817340703,0.2934993308768914,0.007360490792642848,0.26572631503026417,0.0077558862736553233,0.31614681614968509,0.0069023648230645768,0.33914246021278249,0.0077682397832790871,0.30527205526742074,0.0069772389788909988,0.35888631437373342,0.0074891686064130812,0.27846096588851471,0.0038380716879738044,0.30044130399478719,0.0080202985872326674,0.31742846162534333,0.0064195144822094315,0.37252796859165604,0.0088383397202586502,0.30046173382026709,0.0097395387670275602,0.27110290153384509,0.0031717695030673149,0.29934521785015089,0.0032242603648228512,0.31381270068322831,0.0093505388271077974,0.28734488071387415,0.008004598137714267,0.37096090724302022,0.007216752520517007,0.32202306559552873,0.005923930357840783,0.33806944965867042,0.0034957942719676944,0.32215675847657277,0.0066713707933476639,0.29707789059458467,0.0059524818351860262,0.20864050100117876,0.0054476100507579233,0.32274421104749162,0.0067498188375266438,0.30303080404413335,0.0035176731120037121,0.30861194451966883,0.0074624329141635727,0.35196960179726799,0.0092806281112365434,0.29885212370188879,0.0080446335318705708,0.34667438938871353,0.0067309012050642356,0.31659839215127716,0.00733803569478315,0.37234138126305921,0.0076097019987201317,0.31689005076246735,0.0066366954221300112,0.29250690032668397,0.0048609352465153396,0.30257660024271626,0.0081165614992516049,0.31951744215607936,0.0035164464216888109,0.31865506713021263,0.0081220958194577666,0.32633835290235885,0.0073703259272829159,0.28999790107564366,0.0049155308720415054,0.3063880267507853,0.004402459833999642,0.30720881425502333,0.0038729947800915355,0.29149744404241995,0.0035780238759928083,0.3136942872110059,0.0039109611514876385,0.30944866712955388,0.0059008502921989118,0.33055268497716439,0.0042745100748119531,0.22548859760103618,0.0049696847380401128,0.28377850334346577,0.0048402516957902399,0.28588319552778585,0.0083433216385263853,0.310137673099047,0.0036075127748737127,0.33133540537271389
12.192,0.0056358192405642224,0.28378375443180281,0.010014433461284843,0.22128130503382246,0.010127468013374099,0.24121257519645206,0.010273205419399955,0.24277100657975112,0.0082588386168650028,0.28035307896584943,0.0099004549384661741,0.22645986052824507,0.0090801355394236841,0.25247150737580726,0.0099881515709449951,0.25133804677728838,0.0093168170126265177,0.26431515594079835,0.0094062064234232412,0.22246762989309266,0.0048909620385958518,0.25245616338017363,0.01025572221472929,0.22213937859676633,0.0083205062424304404,0.23213643623499888,0.011288381119621754,0.21599115049974127,0.012115920641554319,0.20940312962052576,0.0040282540329902991,0.25087106181655883,0.0041167434760703402,0.24308453982566297,0.011973501931991952,0.23054982171308214,0.010750005321147392,0.24908218209345584,0.0092769332107548036,0.23679768984111865,0.0077857872053087853,0.2416606800747356,0.0044991238424973989,0.25387927805365396,0.0083331957827680204,0.22045438894658947,0.0068085675737177814,0.23310483612211247,0.0070896175966789462,0.26180387592652876,0.0086799689871630975,0.24444835485921526,0.0045447425747116481,0.26066563853774777,0.0095474541476531453,0.24565609187491724,0.011619765797567598,0.21157743246884117,0.010774132796873283,0.26592366741458218,0.0086689166606196515,0.24549269789084682,0.009385372684120135,0.28606645208127607,0.0098920668236963574,0.25652905815875793,0.0075417743706356856,0.30813546908837991,0.006026508915692206,0.23092677492997313,0.010290030076472478,0.22794385315408705,0.0044525522280930976,0.25010600526835974,0.010242121396831198,0.23342093136471342,0.0094125100462756107,0.24754232888066913,0.0060180308704199034,0.23625362782852335,0.0057018846920013234,0.248247647931821,0.0046052881057134336,0.26341032757047006,0.0046604115030562257,0.29215937615965498,0.0050389419347187363,0.28012529689409937,0.0077863657097272925,0.2897091739192687,0.0050850062678992735,0.3047178142930887,0.005900049789074306,0.25786018842761022,0.0060779142556958302,0.2724202306428925,0.010567841731436215,0.22658446949762534,0.0046000834526570902,0.24919097475479562
18.288,0.0071314064455138427,0.24016930969565722,0.011684177965229442,0.18748690859891751,0.012200886143501134,0.21546816781727518,0.012190121778890103,0.16984715328087063,0.010106751739017684,0.26789745805931037,0.011345868462610948,0.19437387997053401,0.010989657928631881,0.19240438527062151,0.012336138027586157,0.20253798312700136,0.011440449889291561,0.19626096850311522,0.0113451092954575,0.17825370936246496,0.0059496000755052455,0.2063040248118948,0.011729160413151125,0.21650943971857081,0.0091640538382477873,0.22714088398030113,0.013018323984586239,0.19593730239529414,0.014162693695269287,0.16036525655134085,0.0049318925438862479,0.22406932110345434,0.0047738555453893704,0.21759593388009354,0.01429421937605178,0.17383613308283347,0.012049831860434014,0.24361945582664987,0.01104205094471053,0.17961292811082166,0.008687862620107123,0.24812393232689725,0.0053448103801732047,0.20253799299122505,0.009901087781933722,0.17741886774355151,0.0082891177176570088,0.19922985821826583,0.0087003244372713326,0.20643713840458611,0.010523528146805471,0.19416989234341772,0.0054638550272760314,0.20624924943731029,0.011611998002137061,0.19005817704863981,0.013733645176802589,0.1636269609633397,0.013194550201193325,0.19315229163525338,0.010675018001569272,0.20732276743532874,0.010987441822510168,0.20143268892177685,0.012189754198072849,0.2004659172847679,0.0094347929996501587,0.28647448185057461,0.0071000581900014853,0.18051870604484005,0.012227753672524141,0.18174740153611138,0.0054032263674971036,0.21735646046329671,0.012329210013722086,0.18722411131901798,0.011280564099277203,0.17304668552778613,0.0071632753244717214,0.1935139931664511,0.0065861546221697544,0.23056746781338522,0.0055763061477212307,0.23801919149641632,0.0056737572307304467,0.2098563454192737,0.0062138772808595548,0.22109184949227192,0.0095061434136284907,0.19352495762488675,0.0065907972026146592,0.30166932012429942,0.0071338597329252459,0.22941933671328305,0.0075794812137894583,0.22463981873427052,0.012515448867622622,0.17967146328872774,0.0054381354254516836,0.19901270134629359
24.384,0.0083582711644990815,0.17133435493761626,0.013725553686112878,0.17716695167751018,0.014590395769113708,0.1704963246069193,0.01384480398220287,0.14123815567271125,0.011950903899484796,0.15638930321083708,0.013235396945667039,0.18157718682250462,0.012643283156931242,0.14650956651509656,0.014626595974764827,0.16679338083916234,0.013454783137149139,0.1527953729582382,0.012857551961137269,0.14214219043050136,0.0066814096732997642,0.201099056776716,0.013988417641241566,0.21005575270053653,0.010871110367488987,0.22578331919067343,0.015234975065763856,0.18198400804393169,0.01611393392068387,0.13382764588757295,0.0057105031405317698,0.18074885683643788,0.0055608833680725949,0.20136139946574308,0.016232306407641915,0.13047072858178305,0.014497655575427834,0.23857529494184115,0.012650272094901485,0.14312799089033784,0.010436288765521143,0.24676156919600323,0.0060809759335304437,0.16625741368413333,0.01148631753892353,0.14848963493778403,0.0094753751587375191,0.15040387312589695,0.010245018966647264,0.16410771392650575,0.012181976999971316,0.15231665028436778,0.0062286699073519358,0.1685528417107193,0.013398612966780561,0.14517255186552994,0.015580798114530855,0.13566487284272419,0.015253566938406703,0.14337364424759752,0.012426317997477364,0.15940379775347568,0.012567678783042786,0.15248186240597608,0.014199176599082349,0.15785133933131895,0.011272674203874742,0.17497043785299785,0.0080000395706359174,0.16666743921519819,0.014237568860182914,0.15767952892779091,0.0062120989081857966,0.17611302576895513,0.014160690534281055,0.14375684439378134,0.012847361937855056,0.13978357487720469,0.0080131811741494443,0.16060732872809411,0.0077506197019097797,0.21157291545207188,0.0065115963053883411,0.18341169057881618,0.0064811602442130471,0.18121523765760503,0.0071327226589524024,0.16686337420175987,0.010938335165299636,0.16564043486730676,0.0079190148737586664,0.19395947652490159,0.0083151991795180746,0.1710231402744645,0.0089343630718198026,0.17719383819554788,0.014503942610683617,0.15420096696601465,0.0062057835716987338,0.1661134674431114
30.48,0.0093373400803124541,0.1394484863063068,0.015972676377289639,0.14823659649692181,0.01665005679948595,0.13380265620655837,0.0157587394311124,0.13569060412892528,0.013024222157543621,0.10508806290259352,0.015267020617398156,0.14221447079093275,0.013870830087450041,0.13146561471135207,0.016383159467554441,0.12733211945588602,0.014804484235533554,0.15351199314105721,0.01425847824160326,0.12682136338071875,0.0077084718293771969,0.1930030244590929,0.016439135180421224,0.15313524701619274,0.012575276880425373,0.14267299623593077,0.017433292443784172,0.13151818157609821,0.018031231507704745,0.11440543247201251,0.0062956725889452766,0.15068441666613727,0.0063478709464873766,0.16787340023895311,0.017983546582172796,0.10627396973648456,0.016895300268870466,0.14258036227460591,0.013876440359143876,0.13278648173521951,0.012154642079174591,0.14538795908619184,0.0066059362141936114,0.15796879670236563,0.012729043844726392,0.12279417571584782,0.010521566835437427,0.13315764837067848,0.011266092812459966,0.16559408147383436,0.013887432591772159,0.13630846102659266,0.0069298301741245218,0.15573363165139878,0.014690654828242904,0.11076478248898886,0.017418780166654775,0.11828748228774577,0.016795367856596084,0.12866339950169306,0.013991473931606151,0.12859551609372144,0.014365018754440252,0.13796481245377129,0.016150757963267766,0.13360556471816395,0.012375398916810373,0.11051355234061841,0.0090374394318439074,0.15568038821964955,0.016309962028213679,0.13685597297697533,0.0068150162155822197,0.14959603928028142,0.015501802836127676,0.10875940535284893,0.014488673675671439,0.13008764978126175,0.0087986624113597731,0.14906873795958966,0.008867011847854005,0.15221730685524157,0.0072053780108428649,0.14293986592466693,0.0074327387617764218,0.1685589554960463,0.0079625408657912778,0.14392929143675554,0.01264551304749544,0.15872912718855936,0.0089039700972422236,0.1435603268927797,0.0091943960090231439,0.13272437920363864,0.010047308101222917,0.13460532402199371,0.016555776365644159,0.13279695158367469,0.0067205073207483685,0.16931596458624629
36.576000000000001,0.010492027315070974,0.13856553067735958,0.017679846206421258,0.1093700414816106,0.01822731097911311,0.096640219907435862,0.017205731274269036,0.10500807120229258,0.013745453562346402,0.08002293588085474,0.016780294143953805,0.10356074152903601,0.015364721204805455,0.12573843161184597,0.018009490380523872,0.10519054283428649,0.016736692012833891,0.15007128133888453,0.015903395498123307,0.11813958944231996,0.0086128790313515138,0.13577520860027167,0.018243089717846703,0.10825808359558314,0.01357729471954254,0.1029471767304842,0.019056432472705373,0.093120874156265368,0.019639899101475844,0.087205889571571729,0.0068117138747795887,0.15487028749663689,0.0070005033915121308,0.15049137759565734,0.019628147352757325,0.089836130021258134,0.018249610690092656,0.085973133911131441,0.015399147169642734,0.12785845179070271,0.013172050952145634,0.10132435932205849,0.0072434014007236392,0.14657823463381298,0.013875380130296787,0.11017911140664281,0.011710624788444413,0.11965713890661811,0.012758073223415574,0.1622930001640713,0.015337843225393753,0.11327310070359287,0.0075974414657038044,0.13709643731270649,0.015839893619595233,0.10191009735152569,0.01919413400369549,0.099178766648826036,0.018639546335140238,0.11808619431783905,0.015402709862138531,0.10908682659549446,0.01584998073651385,0.1077197215626771,0.018035358146424568,0.11264793389826218,0.013149111691543,0.075582341858129717,0.0099367377692173488,0.11797798294023015,0.01808587288811964,0.10766169632090176,0.0073513664523889776,0.14278393021260677,0.016678690238817503,0.10382705703088443,0.015838538793102975,0.10088456368237973,0.0099301413494007704,0.14194889775343464,0.0096821624610362051,0.1144481511668803,0.0078555711541739726,0.12832496111199759,0.0081239415218543609,0.14267405324495025,0.0088290492063983692,0.13444325635963666,0.014001680076068286,0.1280276903540401,0.0098075316750183238,0.11816232275555091,0.0099918606652369714,0.11080096159717609,0.011076853597276039,0.12370748946280918,0.018300279852144944,0.10423240387638025,0.0074771768003691081,0.16327446294995204
42.671999999999997,0.011391838531023019,0.12085539379992642,0.019107850802740592,0.079425028194918701,0.019752558196432929,0.078373632648470609,0.018615439329280951,0.090373156468078114,0.013984318192220672,0.14227922703302032,0.01796867963448423,0.078219404701964618,0.016776769370238274,0.097303072655818681,0.019862784582434567,0.0999794237630066,0.018473680745673238,0.099312937121083952,0.017177555740238659,0.088381837356759141,0.0092302394235353295,0.10869684324572099,0.019723630474435684,0.081835208210031082,0.01424837394924763,0.07408680629138463,0.020536899133865028,0.075937716081935641,0.020838549578263515,0.069149193328473385,0.0074914367310375367,0.14603454402331378,0.0075049526237120859,0.12545189051803404,0.021041183381454782,0.071783832988020074,0.019170640103587218,0.0543265771733474,0.016788202567862343,0.096218506867027584,0.013886955044976451,0.075647085887346324,0.0078343105499554221,0.12307030287146725,0.015190375019727746,0.10446036790981983,0.012606687890012297,0.099629918636394366,0.01413475824960982,0.11388022556564187,0.016696494849916255,0.096962263125286011,0.0081821199150505491,0.12284915475769136,0.017223057799242193,0.097798857574146206,0.020658825505018887,0.074749099048224257,0.020424226240966365,0.091749736129520809,0.0166995849613744,0.093441349359460676,0.017175095696943508,0.090490429716613446,0.019580658782377323,0.084791145186222286,0.01338510996386413,0.16279321290209564,0.010640136977216351,0.10268897224998759,0.01954124617243895,0.078564677653007023,0.0080577023789079275,0.13892674257539006,0.018165294160004949,0.098544106770076842,0.017064731568587,0.085830773193904211,0.010724388857387541,0.10871874577774687,0.010465782535441826,0.10794284034969477,0.0084198382920448612,0.12129085285700951,0.0088207848828000604,0.12568106762434089,0.0095566314968356277,0.10897263122509764,0.01540408488205893,0.11365346322911438,0.01050366880080994,0.11535210401027551,0.010654716083886356,0.10047722753244577,0.012026604653315422,0.10059040727850881,0.019785135042595367,0.079777919862531133,0.0082234492355776605,0.13322359696249189
48.768000000000001,0.012238420592827755,0.095364603499824382,0.019912669556588453,0.068555224762379796,0.020496476327865009,0.076143039990137759,0.019651245451628933,0.063198619842423143,0.015915686942977306,0.17710444251433374,0.019170460529333883,0.066798402725538247,0.017665215053160186,0.070740144194119808,0.021270254874113596,0.072539540756739726,0.019643506908168188,0.067861144674060001,0.018238026849628525,0.071280487994060573,0.0097235239502456196,0.094466429447996159,0.020883043793854975,0.060394355605123864,0.014498374019717122,0.12036067321285686,0.021812114299089868,0.061934140912777234,0.02214780080596148,0.064238474309268517,0.0081461723175279641,0.12654804961427427,0.0079425528583768838,0.11241821661357321,0.022293743590977636,0.059196228657670165,0.019526148651906702,0.1090578706889772,0.017592477612953728,0.066642969375527827,0.01415317550284707,0.13143761286055139,0.0081815621563673547,0.10850380050846929,0.016155450023013742,0.080358492655958055,0.013480339738001001,0.09758014716258194,0.015077606283713544,0.086102100124999248,0.017804599043833101,0.079317584614690767,0.0086934216159276455,0.10845024080207971,0.018417811213401858,0.076349785228986763,0.021758461505564479,0.055793425506237351,0.021532448449003563,0.060517486702741811,0.017849376738130432,0.081042559532321368,0.018247511540205034,0.072022704414392055,0.02077534639540601,0.066989706427660264,0.015534866211452423,0.20393016419334217,0.011252155410361656,0.097132213782839052,0.020463387950557934,0.067617854462401636,0.008688817368190882,0.11605200084313434,0.019478370239057206,0.073616774674520921,0.018075793592549103,0.073843278106259097,0.011300801597334282,0.0993483291940397,0.011113802199289827,0.10380927606558833,0.0089176636697008184,0.10616233196595218,0.0093945238182445798,0.10764835053952822,0.010139956938592123,0.093711733231514702,0.01645497565614926,0.088401282483087415,0.011363067607638829,0.10650009929063745,0.011201821277369777,0.094357799415090163,0.012855265061035435,0.089526301300466307,0.020766075911716333,0.06584451008979797,0.0088058460097266908,0.11294350742757954
54.864000000000004,0.012859023456673876,0.07921660630184188,0.020908759650874621,0.061138656329982118,0.021553316610616109,0.068991465331546861,0.020449071111030857,0.046541530864915699,0.01699653052466862,0.085500830092425179,0.019669839857856062,0.058558223210715403,0.018517755029654009,0.055715207276772032,0.022437211667494236,0.053164431599092107,0.020646958793071008,0.05768125855135401,0.019033759576999914,0.05147622977853842,0.01010322195848948,0.0794303920751393,0.02178356588810024,0.049027179771471266,0.016141645883653053,0.14431009703026254,0.022780256056968391,0.046600202153012332,0.023088351841701021,0.054248058685375945,0.0085587784877557659,0.107941778701626,0.0082173604578857449,0.10444090252086149,0.023113691769375166,0.042831473469523103,0.021785841549135283,0.14306095932818227,0.018190311288751766,0.051807284584273833,0.01596258566775275,0.16415378515387546,0.0084393749612098942,0.10242726862730973,0.016858806280373395,0.06124732519053451,0.014025940250900062,0.075616641717622418,0.015899859589249464,0.072086513521438078,0.01864978669021897,0.058140613309477583,0.0090311584612184533,0.089910614554431528,0.019059442852105951,0.045698671042361236,0.02271977316280353,0.047283789027158192,0.022589211117280756,0.049971441906208655,0.018763321349481148,0.059606984221510791,0.019127197283525819,0.055214622585367919,0.022074432909300459,0.061093607821460609,0.016852829867197359,0.09238398144345937,0.011594703109687606,0.094084660666852823,0.021521233640362715,0.05936739350990803,0.0090396763000321605,0.089373207835694482,0.020166114081097003,0.044879567919337671,0.018719442072402438,0.04894480394238767,0.011788470632885592,0.070094992736267486,0.011613837329044347,0.072782886457407978,0.0092475103128165474,0.092604575000609313,0.0098872852634588389,0.091067407951815213,0.01068715402153206,0.090781296788101054,0.017392237207118966,0.07034593920362768,0.012153590665870014,0.079990452642369814,0.011515287308661236,0.091109110728952128,0.013550522806546627,0.084962754519466624,0.021883741409919614,0.056808601169543976,0.0093042038752238522,0.096844294868005651
