Detector Measurements,,,,Tilt Corrected,,,,,
Detector Location,Detector Data,Simulate Data,Difference,Detector Location,Detector Data,Simulate Data,Difference,MPACT Data,Difference
C7,1.13765311767953,1.13079318898,-0.00685992869899,G3,1.14773808035,1.13900593565,-0.00873214470047,,
R8,0.767305437089598,0.789776012234,0.0224705751441,F3,1.08546833111,1.0647447557,-0.0207235754059,,
N8,1.012242652707168,1.02403998583,0.0117973331155,E3,1.2119720473,1.20122476209,-0.0107472852097,,
L8,1.053546023074146,1.04479755311,-0.0087484699643,D3,1.07078457795,1.06273769679,-0.00804688116335,,
J8,1.019939328385713,1.03392454167,0.0139852132832,C3,0.89659664384,0.910201219061,0.0136045752209,,
F8,1.034036143167397,1.03985527518,0.00581913201183,B3,0.519645076506,0.511800023948,-0.00784505255775,,
D8,1.104002118953663,1.11102407729,0.00702195833553,P4,0.80682400471,0.809848273189,0.00302426847869,,
C8,1.019263442243765,1.02403998583,0.00477654358546,N4,1.07078457795,1.06273769679,-0.00804688116335,,
B8,0.9846607248710325,0.998340140621,0.0136794157503,M4,1.16353953697,1.18817887913,0.0246393421569,,
G9,1.035277607782299,1.04183218635,0.00655457857138,K4,1.251633969,1.23634829315,-0.0152856758544,,
E9,1.167370420241969,1.16242376769,-0.00494665254624,J4,1.0876007172,1.08280828596,-0.00479243123891,,
A9,0.8025875232025407,0.797683656912,-0.0049038662907,H4,1.12117380649,1.1279671116,0.00679330511359,,
L10,1.049174804939944,1.07247430948,0.0232995045394,G4,1.0876007172,1.08280828596,-0.00479243123891,,
J10,1.059523296635916,1.06258975363,0.00306645699163,F4,1.251633969,1.23534476369,-0.0162892053132,,
D10,1.240472345518518,1.21678882486,-0.0236835206637,D4,1.16353953697,1.18817887913,0.0246393421569,,
R11,0.5263030620649537,0.517950726421,-0.00835233564363,C4,1.07078457795,1.06273769679,-0.00804688116335,,
L11,1.2698304594252,1.24940785915,-0.0204226002762,B4,0.80682400471,0.809848273189,0.00302426847869,,
H11,1.053326149691747,1.04479755311,-0.0085285965843,R5,0.534700259487,0.52584943637,-0.00885082311665,,
E11,1.281986507712233,1.24940785915,-0.0325786485562,N5,1.2119720473,1.20122476209,-0.0107472852097,,
