Calendar days since BOC,220,,,,,,
Core Burnup [MWD/MT],7714.8,,,,,,
Inlet Coolant Temperature [F],561.29999999999995,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3410.3,346.,228.,228.,228.,210.,230.
1,3415.0,346.,228.,228.,228.,210.,230.
2,3419.2,346.,228.,228.,228.,210.,230.
3,3415.3,346.,228.,228.,228.,210.,230.
4,3406.5,346.,228.,228.,228.,210.,230.
5,3405.7,346.,228.,228.,228.,210.,230.
6,3411.1,346.,228.,228.,228.,210.,230.
7,3411.1,346.,228.,228.,228.,210.,230.
8,3408.7,346.,228.,228.,228.,210.,230.
9,3404.3,346.,228.,228.,228.,210.,230.
10,3410.5,346.,228.,228.,228.,210.,230.
11,3403.5,346.,228.,228.,228.,210.,230.
12,3403.9,346.,228.,228.,228.,210.,230.
13,3409.3,346.,228.,228.,228.,210.,230.
,,,,,,,
Average Power [MWt],3409.6,,,,,,
Average Boron [ppm],346.0,,,,,,
