Calendar days since BOC,339,,,,,,
Core Burnup [MWD/MT],6490.4,,,,,,
Inlet Coolant Temperature [F],560.97500000000002,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3398.5,437.,228.,228.,228.,199.,230.
1,3401.9,436.,228.,228.,228.,199.,230.
2,3400.8,436.,228.,228.,228.,199.,230.
3,3399.3,433.,228.,228.,228.,199.,230.
4,3441.0,439.,228.,228.,228.,199.,230.
5,3406.8,436.,228.,228.,228.,199.,230.
6,3392.5,442.,228.,228.,228.,199.,230.
7,3392.7,434.,228.,228.,228.,199.,230.
8,3393.2,441.,228.,228.,228.,199.,230.
9,3393.9,436.,228.,228.,228.,199.,230.
10,3395.6,439.,228.,228.,228.,199.,230.
11,3391.8,434.,228.,228.,228.,199.,230.
,,,,,,,
Average Power [MWt],3400.6666666666665,,,,,,
Average Boron [ppm],436.9166666666667,,,,,,
