Calendar days since BOC,323,,,,,,
Core Burnup [MWD/MT],6012.2,,,,,,
Inlet Coolant Temperature [F],556.54999999999995,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,2176.4,531.,228.,228.,228.,176.,230.
1,2171.5,530.,228.,228.,228.,176.,230.
2,2179.3,525.,228.,228.,228.,177.,230.
3,2168.7,527.,228.,228.,228.,177.,230.
4,2168.6,522.,228.,228.,228.,178.,230.
5,2172.1,523.,228.,228.,228.,178.,230.
6,2170.0,530.,228.,228.,228.,178.,230.
7,2166.6,523.,228.,228.,228.,178.,230.
8,2167.5,527.,228.,228.,228.,178.,230.
9,2169.1,528.,228.,228.,228.,179.,230.
10,2173.2,522.,228.,228.,228.,179.,230.
,,,,,,,
Average Power [MWt],2171.181818181818,,,,,,
Average Boron [ppm],526.1818181818181,,,,,,
