Calendar days since BOC,161,,,,,,
Core Burnup [MWD/MT],1295.5,,,,,,
Inlet Coolant Temperature [F],556.39999999999998,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,2188.3,695.,228.,228.,228.,187.,230.
1,2190.6,692.,228.,228.,228.,187.,230.
2,2190.4,703.,228.,228.,228.,187.,230.
3,2192.1,702.,228.,228.,228.,187.,230.
4,2199.9,698.,228.,228.,228.,187.,230.
5,2202.5,700.,228.,228.,228.,187.,230.
6,2205.3,705.,228.,228.,228.,187.,230.
7,2212.2,700.,228.,228.,228.,187.,230.
8,2215.0,702.,228.,228.,228.,187.,230.
9,2218.7,702.,228.,228.,228.,187.,230.
10,2220.6,702.,228.,228.,228.,187.,230.
11,2231.0,700.,228.,228.,228.,187.,230.
,,,,,,,
Average Power [MWt],2205.5499999999997,,,,,,
Average Boron [ppm],700.0833333333334,,,,,,
