Calendar days since BOC,93,,,,,,
Core Burnup [MWD/MT],3198.7,,,,,,
Inlet Coolant Temperature [F],561.42499999999995,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3400.2,712.,228.,228.,228.,209.,230.
1,3406.8,712.,228.,228.,228.,209.,230.
2,3401.7,712.,228.,228.,228.,209.,230.
3,3401.4,712.,228.,228.,228.,209.,230.
4,3407.4,712.,228.,228.,228.,209.,230.
5,3404.9,712.,228.,228.,228.,209.,230.
6,3405.7,712.,228.,228.,228.,209.,230.
7,3408.8,712.,228.,228.,228.,209.,230.
8,3408.4,712.,228.,228.,228.,209.,230.
9,3407.1,712.,228.,228.,228.,209.,230.
10,3414.7,712.,228.,228.,228.,209.,230.
11,3416.1,712.,228.,228.,228.,209.,230.
12,3410.4,712.,228.,228.,228.,209.,230.
13,3410.7,712.,228.,228.,228.,210.,230.
,,,,,,,
Average Power [MWt],3407.45,,,,,,
Average Boron [ppm],712.0,,,,,,
