Calendar days since BOC,10,,,,,,
Core Burnup [MWD/MT],126.5,,,,,,
Inlet Coolant Temperature [F],557.97500000000002,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,2751.0,1054.,228.,228.,228.,176.,230.
1,2747.5,1054.,228.,228.,228.,176.,230.
2,2749.9,1054.,228.,228.,228.,176.,230.
3,2739.9,1054.,228.,228.,228.,176.,230.
4,2738.2,1054.,228.,228.,228.,176.,230.
5,2745.7,1054.,228.,228.,228.,176.,230.
6,2740.7,1054.,228.,228.,228.,176.,230.
7,2749.0,1054.,228.,228.,228.,176.,230.
8,2744.0,1054.,228.,228.,228.,176.,230.
9,2745.2,1054.,228.,228.,228.,177.,230.
10,2743.4,1054.,228.,228.,228.,177.,230.
,,,,,,,
Average Power [MWt],2744.954545454546,,,,,,
Average Boron [ppm],1054.0,,,,,,
