Detector Measurements,,,,Tilt Corrected,,,,,
Detector Location,Detector Data,Simulate Data,Difference,Detector Location,Detector Data,Simulate Data,Difference,MPACT Data,Difference
F1,0.761091622156518,0.774358780501,0.0132671583444,L1,0.482093452315,0.470416960488,-0.0116764918272,,
N2,0.4432030700366666,0.44978925284,0.00658618280274,K1,0.785966542948,0.77768931553,-0.00827722741811,,
K2,1.026605130919557,1.04483338689,0.0182282559661,J1,0.950890390501,0.921817065126,-0.0290733253748,,
H2,1.048797386323307,1.07588787873,0.0270904924103,H1,0.940044406078,0.928823275176,-0.011221130902,,
H3,1.048854424292412,1.07789139433,0.0290369700431,G1,0.950890390501,0.916812629376,-0.0340777611247,,
F3,1.047540988827956,1.04683690249,-0.000704086341062,F1,0.785966542948,0.77368576693,-0.012280776018,,
D3,0.9713202571679603,1.01778592625,0.0464656690796,E1,0.482093452315,0.468415186188,-0.0136782661271,,
B3,0.4508435412578879,0.44978925284,-0.00105428841826,N2,0.450276307214,0.449398330338,-0.000877976875623,,
P4,0.8118831160196058,0.821441397168,0.00955828114835,M2,0.831559055684,0.822729237279,-0.00882981840528,,
N4,0.9688109388959991,1.01778592625,0.0489749873516,K2,1.04968500133,1.04392529742,-0.005759703907,,
H4,1.099686957825478,1.14000037802,0.0403134201914,J2,1.0976225092,1.08095812197,-0.016664387228,,
L5,1.093110785772326,1.09892830816,0.00581752239303,H2,1.07890072143,1.07495279907,-0.0039479223578,,
G5,1.162473079822929,1.18608123689,0.023608157067,G2,1.0976225092,1.07094925047,-0.0266732587277,,
E5,1.131321609680757,1.09892830816,-0.032393301517,F2,1.04968500133,1.03791997452,-0.0117650268068,,
R6,0.7836592276384338,0.774358780501,-0.00930044713661,D2,0.831559055684,0.820727462979,-0.0108315927052,,
N6,1.030750590563116,1.04683690249,0.0160863119289,C2,0.450276307214,0.449398330338,-0.000877976875623,,
K6,1.181672239497719,1.19910408831,0.0174318488055,P3,0.450276307214,0.449398330338,-0.000877976875623,,
H6,1.11485967485878,1.14500916703,0.0301494921686,N3,0.905781223744,0.946839243876,0.0410580201315,,
B6,1.081837878352865,1.04483338689,-0.0370044914639,M3,0.982570274301,1.01790223152,0.0353319572227,,
M7,1.091997621724577,1.10193358157,0.0099359598473,L3,1.07143399102,1.09196788062,0.0205338896018,,
J7,1.115171362433042,1.16003553405,0.0448641716199,K3,1.05184390984,1.05093150747,-0.000912402367182,,
