Calendar days since BOC,92,,,,,,
Core Burnup [MWD/MT],1023.3,,,,,,
Inlet Coolant Temperature [F],557.09999999999991,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3388.6,608.,228.,228.,228.,207.,230.
1,3407.7,606.,228.,228.,228.,207.,230.
2,3359.8,627.,228.,228.,228.,207.,230.
3,3359.8,631.,228.,228.,228.,207.,230.
4,3359.8,634.,228.,228.,228.,207.,230.
5,3359.8,633.,228.,228.,228.,207.,230.
6,3359.8,631.,228.,228.,228.,207.,230.
7,3359.8,622.,228.,228.,228.,207.,230.
8,3359.8,634.,228.,228.,228.,207.,230.
9,3359.8,617.,228.,228.,228.,207.,230.
10,3359.8,623.,228.,228.,228.,207.,230.
11,3359.8,616.,228.,228.,228.,207.,230.
12,3359.8,612.,228.,228.,228.,207.,230.
,,,,,,,
Average Power [MWt],3365.7000000000003,,,,,,
Average Boron [ppm],622.6153846153846,,,,,,
