Calendar days since BOC,403,,,,,,
Core Burnup [MWD/MT],8701.0,,,,,,
Inlet Coolant Temperature [F],560.59999999999991,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3393.2,306.,228.,228.,228.,223.,230.
1,3410.9,305.,228.,228.,228.,223.,230.
2,3412.0,305.,228.,228.,228.,223.,230.
3,3405.5,305.,228.,228.,228.,223.,230.
4,3408.8,309.,228.,228.,228.,223.,230.
5,3409.8,305.,228.,228.,228.,223.,230.
6,3400.9,308.,228.,228.,228.,223.,230.
7,3403.7,305.,228.,228.,228.,223.,230.
8,3412.7,308.,228.,228.,228.,222.,230.
9,3411.1,305.,228.,228.,228.,222.,230.
10,3400.0,306.,228.,228.,228.,222.,230.
,,,,,,,
Average Power [MWt],3406.2363636363643,,,,,,
Average Boron [ppm],306.09090909090907,,,,,,
