Calendar days since BOC,573,,,,,,
Core Burnup [MWD/MT],13603.4,,,,,,
Inlet Coolant Temperature [F],557.17499999999995,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,2396.5,35.,228.,228.,228.,208.,230.
1,2380.6,35.,228.,228.,228.,208.,230.
2,2384.9,35.,228.,228.,228.,208.,230.
3,2380.8,35.,228.,228.,228.,208.,230.
4,2381.0,35.,228.,228.,228.,208.,230.
5,2378.5,35.,228.,228.,228.,208.,230.
6,2385.0,35.,228.,228.,228.,208.,230.
7,2381.2,35.,228.,228.,228.,208.,230.
8,2381.2,35.,228.,228.,228.,208.,230.
9,2380.4,35.,228.,228.,228.,208.,230.
10,2379.2,35.,228.,228.,228.,208.,230.
11,2380.7,35.,228.,228.,228.,208.,230.
12,2378.7,35.,228.,228.,228.,208.,230.
13,2383.6,35.,228.,228.,228.,208.,230.
14,2384.5,35.,228.,228.,228.,208.,230.
15,2388.6,35.,228.,228.,228.,208.,230.
,,,,,,,
Average Power [MWt],2382.8375,,,,,,
Average Boron [ppm],35.0,,,,,,
