Detector Measurements,,,,Tilt Corrected,,,,,
Detector Location,Detector Data,Simulate Data,Difference,Detector Location,Detector Data,Simulate Data,Difference,MPACT Data,Difference
J1,0.7445727200208477,0.743534739602,-0.00103798041887,L1,0.566654225815,0.556425388414,-0.0102288374009,,
F1,0.6850305247090182,0.683768323204,-0.00126220150541,K1,0.681072622757,0.682885703963,0.00181308120576,,
N2,0.5808951575028258,0.580443332142,-0.000451825361283,J1,0.739585363256,0.742574972902,0.00298960964573,,
H2,1.231533511412422,1.22976999166,-0.00176351975198,H1,0.722257147579,0.726388052512,0.0041309049325,,
H3,1.088238880399426,1.0909903468,0.0027514664004,G1,0.739585363256,0.742574972902,0.00298960964573,,
F3,1.106031018072035,1.08997735669,-0.016053661378,F1,0.681072622757,0.682885703963,0.00181308120576,,
B3,0.5839151132107903,0.580443332142,-0.00347178106928,E1,0.566654225815,0.556425388414,-0.0102288374009,,
P4,0.7948915186259107,0.795197235133,0.000305716507068,N2,0.579524593629,0.579694086475,0.000169492846057,,
N4,1.112574890309121,1.11834107973,0.00576618941854,M2,0.785301482257,0.794170781646,0.00886929938858,,
L5,1.243980231697184,1.21964009057,-0.0243401411265,K2,1.2070936053,1.19580874383,-0.0112848614719,,
G5,1.189726002238748,1.17202955548,-0.0176964467636,J2,0.957989411784,0.966156810792,0.00816739900776,,
E5,1.26482971452359,1.21964009057,-0.0451896239465,H2,1.22470053755,1.22818258461,0.00348204705859,,
C5,1.271449810984713,1.25509474437,-0.0163550666107,G2,0.957989411784,0.966156810792,0.00816739900776,,
R6,0.6866821802950719,0.683768323204,-0.00291385709141,F2,1.2070936053,1.19580874383,-0.0112848614719,,
N6,1.082620622245301,1.08997735669,0.00735673444195,D2,0.785301482257,0.794170781646,0.00886929938858,,
K6,1.179183058450122,1.16392563461,-0.0152574238412,C2,0.579524593629,0.579694086475,0.000169492846057,,
H6,1.164905521948245,1.14974377309,-0.0151617488595,P3,0.579524593629,0.579694086475,0.000169492846057,,
B6,1.212547969744913,1.19735430819,-0.0151936615524,N3,0.844958757159,0.841719860292,-0.00323889686712,,
