Calendar days since BOC,218,,,,,,
Core Burnup [MWD/MT],3297.1,,,,,,
Inlet Coolant Temperature [F],561.5,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3194.5,575.,228.,228.,228.,195.,230.
1,3189.2,577.,228.,228.,228.,195.,230.
2,3196.1,578.,228.,228.,228.,196.,230.
3,3190.8,580.,228.,228.,228.,196.,230.
4,3192.7,577.,228.,228.,228.,196.,230.
5,3191.9,580.,228.,228.,228.,196.,230.
6,3198.9,580.,228.,228.,228.,196.,230.
7,3195.6,578.,228.,228.,228.,196.,230.
8,3200.0,578.,228.,228.,228.,196.,230.
9,3195.8,575.,228.,228.,228.,196.,230.
10,3207.3,581.,228.,228.,228.,196.,230.
11,3212.6,580.,228.,228.,228.,195.,230.
12,3218.5,578.,228.,228.,228.,195.,230.
,,,,,,,
Average Power [MWt],3198.7615384615387,,,,,,
Average Boron [ppm],578.2307692307693,,,,,,
