Calendar days since BOC,434,,,,,,
Core Burnup [MWD/MT],9802.9,,,,,,
Inlet Coolant Temperature [F],561.125,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3387.7,259.,228.,228.,228.,208.,230.
1,3391.9,259.,228.,228.,228.,208.,230.
2,3399.2,259.,228.,228.,228.,208.,230.
3,3383.3,259.,228.,228.,228.,208.,230.
4,3388.3,259.,228.,228.,228.,208.,230.
5,3391.8,259.,228.,228.,228.,207.,230.
6,3401.8,259.,228.,228.,228.,207.,230.
7,3397.7,259.,228.,228.,228.,208.,230.
8,3397.8,259.,228.,228.,228.,208.,230.
9,3397.7,259.,228.,228.,228.,208.,230.
10,3404.0,259.,228.,228.,228.,207.,230.
11,3392.4,259.,228.,228.,228.,206.,230.
12,3392.2,259.,228.,228.,228.,207.,230.
,,,,,,,
Average Power [MWt],3394.2923076923075,,,,,,
Average Boron [ppm],259.0,,,,,,
