Calendar days since BOC,126,,,,,,
Core Burnup [MWD/MT],4043.3,,,,,,
Inlet Coolant Temperature [F],560.85000000000002,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3418.9,653.,228.,228.,228.,212.,230.
1,3417.0,653.,228.,228.,228.,212.,230.
2,3411.2,653.,228.,228.,228.,212.,230.
3,3418.1,653.,228.,228.,228.,212.,230.
4,3414.7,653.,228.,228.,228.,212.,230.
5,3412.7,653.,228.,228.,228.,212.,230.
6,3411.3,653.,228.,228.,228.,212.,230.
7,3410.4,653.,228.,228.,228.,212.,230.
8,3406.1,653.,228.,228.,228.,212.,230.
9,3428.1,653.,228.,228.,228.,211.,230.
10,3413.0,653.,228.,228.,228.,211.,230.
11,3409.0,653.,228.,228.,228.,211.,230.
12,3409.2,653.,228.,228.,228.,211.,230.
,,,,,,,
Average Power [MWt],3413.8230769230768,,,,,,
Average Boron [ppm],653.0,,,,,,
