Detector Measurements,,,,Tilt Corrected,,,,,
Detector Location,Detector Data,Simulate Data,Difference,Detector Location,Detector Data,Simulate Data,Difference,MPACT Data,Difference
J1,0.7891776890395575,0.799715753799,0.0105380647595,L1,0.549959052678,0.533987282215,-0.0159717704626,,
F1,0.710684535843977,0.718541598339,0.00785706249461,K1,0.716772644167,0.720682083892,0.00390943972525,,
N2,0.5282238744560804,0.517109434788,-0.0111144396684,J1,0.793021860556,0.800980923323,0.00795906276714,,
K2,1.055997637528848,1.05025327065,-0.00574436687608,H1,0.771742447583,0.788936097409,0.0171936498255,,
H2,1.004238643061383,1.00816296782,0.00392432476237,G1,0.793021860556,0.798973452337,0.00595159178137,,
H3,1.021654281259165,1.03622316971,0.0145688884501,F1,0.716772644167,0.719678348399,0.00290570423236,,
F3,1.07679306735817,1.06528552167,-0.0115075456948,E1,0.549959052678,0.532983546723,-0.0169755059555,,
D3,1.060978714667131,1.06227907146,0.00130035679293,N2,0.530102934122,0.517927514329,-0.0121754197928,,
B3,0.5350892290352071,0.517109434788,-0.0179797942474,M2,0.792909189183,0.804995865295,0.0120866761117,,
P4,0.7871043760152963,0.803724354069,0.0166199780541,K2,1.05269709308,1.05191479654,-0.000782296535327,,
N4,1.059399159934951,1.06227907146,0.00287991153293,J2,1.02691676474,1.03485129317,0.00793452842561,,
H4,1.120443422909766,1.12641667578,0.00597325286768,H2,0.997197625402,1.00975790584,0.0125602804415,,
L5,1.30122530943175,1.28174993623,-0.0194753732026,G2,1.02691676474,1.0298326157,0.00291585096118,,
G5,1.182298276711859,1.17852847928,-0.0037697974266,F2,1.05269709308,1.05091106105,-0.00178603202821,,
E5,1.312353459518654,1.28174993623,-0.0306035232926,D2,0.792909189183,0.804995865295,0.0120866761117,,
C5,1.225752370606086,1.20859298131,-0.0171593893041,C2,0.530102934122,0.517927514329,-0.0121754197928,,
R6,0.7182130887971545,0.718541598339,0.000328509541606,P3,0.530102934122,0.517927514329,-0.0121754197928,,
N6,1.070966067206393,1.06528552167,-0.00568054554481,N3,0.882500529863,0.902358208105,0.0198576782416,,
K6,1.22758257890782,1.21460588171,-0.0129766971996,M3,1.06116399184,1.06395962246,0.00279563061931,,
H6,1.032408453490183,1.04824897052,0.0158405170291,L3,1.21584007382,1.21050500442,-0.00533506939932,,
B6,1.055074464796075,1.05025327065,-0.00482119414608,K3,1.07638619128,1.06797456443,-0.00841162684915,,
M7,1.078612979019694,1.07931562261,0.000702643589036,J3,1.1502884076,1.15028087485,-7.53275248577e-06,,
J7,1.02943380189707,1.04925112059,0.0198173186865,H3,1.02881707088,1.03786249964,0.00904542876427,,
F7,1.075888312101311,1.070296272,-0.00559204009772,G3,1.1502884076,1.14124725541,-0.00904115218846,,
C7,1.155331269783861,1.14846397726,-0.00686729251913,F3,1.07638619128,1.06697082894,-0.00941536234204,,
R8,0.7619902770923258,0.78768995299,0.0256996758984,E3,1.21584007382,1.21050500442,-0.00533506939932,,
N8,1.026641052691113,1.03622316971,0.00958211702007,D3,1.06116399184,1.06395962246,0.00279563061931,,
L8,1.052848139299138,1.05626617106,0.00341803175843,C3,0.882500529863,0.902358208105,0.0198576782416,,
J8,1.027047645196397,1.04223607011,0.0151884249146,B3,0.530102934122,0.517927514329,-0.0121754197928,,
F8,1.03779383636775,1.04824897052,0.0104551341491,P4,0.792909189183,0.804995865295,0.0120866761117,,
D8,1.123328384920363,1.12641667578,0.00308829085768,N4,1.06116399184,1.06395962246,0.00279563061931,,
C8,1.026702506500037,1.03622316971,0.00952066321007,M4,1.17982791569,1.199463914,0.0196359983089,,
B8,0.995447697277859,1.00816296782,0.0127152705444,K4,1.25735914616,1.24563574667,-0.0117233994883,,
G9,1.037366757505172,1.05025327065,0.0128865131439,J4,1.0883567873,1.08102312584,-0.00733366146163,,
E9,1.179538029091299,1.17852847928,-0.0010095498066,H4,1.12049219146,1.128198694,0.00770650254402,,
A9,0.8011207180553518,0.797711453665,-0.00340926439038,G4,1.0883567873,1.08102312584,-0.00733366146163,,
L10,1.091822435256001,1.08933712328,-0.00248531197679,F4,1.25735914616,1.24563574667,-0.0117233994883,,
J10,1.069343946910687,1.07230057214,0.00295662522711,D4,1.17982791569,1.199463914,0.0196359983089,,
D10,1.259486271765144,1.2426660836,-0.0168201881719,C4,1.06116399184,1.06395962246,0.00279563061931,,
R11,0.5383905676185844,0.533143835866,-0.0052467317527,B4,0.792909189183,0.804995865295,0.0120866761117,,
L11,1.29858911519258,1.28174993623,-0.0168391789626,R5,0.549959052678,0.532983546723,-0.0169755059555,,
H11,1.05058512182825,1.05626617106,0.00568104922843,N5,1.21584007382,1.21050500442,-0.00533506939932,,
E11,1.299503354158353,1.28174993623,-0.0177534179326,L5,1.3050188993,1.2837776954,-0.0212412038986,,
A11,0.559535087815711,0.532141685799,-0.0273934020171,K5,1.09797062727,1.09106048077,-0.00691014650277,,
K12,1.251899303133067,1.2426660836,-0.00923321953185,J5,1.17978753884,1.17236305569,-0.00742448314899,,
G12,1.089955106739222,1.07931562261,-0.010639484131,H5,1.05567586952,1.0579372095,0.00226133998199,,
D12,1.181963236942848,1.19756933056,0.0156060936243,G5,1.17978753884,1.18039293963,0.000605400794098,,
N13,0.8747952364356972,0.900932910609,0.0261376741727,F5,1.09797062727,1.09206421626,-0.00590641100988,,
L13,1.20415461463653,1.20859298131,0.00443836666594,E5,1.3050188993,1.2837776954,-0.0212412038986,,
H13,1.033565248366662,1.03622316971,0.00265792134007,C5,1.21584007382,1.21050500442,-0.00533506939932,,
N14,0.5228066546045271,0.517109434788,-0.00569721981738,A5,0.549959052678,0.533987282215,-0.0159717704626,,
