Calendar days since BOC,296,,,,,,
Core Burnup [MWD/MT],10433.1,,,,,,
Inlet Coolant Temperature [F],560.77499999999998,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3414.0,212.,228.,228.,228.,217.,230.
1,3407.1,131.,228.,228.,228.,217.,230.
2,3411.2,131.,228.,228.,228.,217.,230.
3,3409.4,131.,228.,228.,228.,217.,230.
4,3409.9,131.,228.,228.,228.,217.,230.
5,3408.5,131.,228.,228.,228.,217.,230.
6,3405.4,131.,228.,228.,228.,217.,230.
7,3405.4,131.,228.,228.,228.,217.,230.
8,3407.9,131.,228.,228.,228.,217.,230.
9,3406.7,131.,228.,228.,228.,217.,230.
10,3408.2,131.,228.,228.,228.,217.,230.
11,3407.4,131.,228.,228.,228.,217.,230.
12,3407.2,131.,228.,228.,228.,217.,230.
13,3405.8,131.,228.,228.,228.,217.,230.
,,,,,,,
Average Power [MWt],3408.15,,,,,,
Average Boron [ppm],136.78571428571428,,,,,,
