Calendar days since BOC,5,,,,,,
Core Burnup [MWD/MT],13.0,,,,,,
Inlet Coolant Temperature [F],556.27500000000009,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,978.5,1180.,228.,228.,228.,211.,230.
1,986.2,1180.,228.,228.,228.,211.,230.
2,977.8,1180.,228.,228.,228.,211.,230.
3,1009.0,1180.,228.,228.,228.,211.,230.
4,1006.6,1180.,228.,228.,228.,211.,230.
5,996.5,1180.,228.,228.,228.,211.,230.
6,992.4,1180.,228.,228.,228.,211.,230.
7,986.5,1180.,228.,228.,228.,211.,230.
8,987.6,1180.,228.,228.,228.,211.,230.
9,983.3,1180.,228.,228.,228.,211.,230.
10,1002.6,1180.,228.,228.,228.,211.,230.
11,997.9,1180.,228.,228.,228.,211.,230.
12,994.6,1180.,228.,228.,228.,211.,230.
13,1001.9,1180.,228.,228.,228.,211.,230.
,,,,,,,
Average Power [MWt],992.9571428571428,,,,,,
Average Boron [ppm],1180.0,,,,,,
