Detector Measurements,,,,Tilt Corrected,,,,,
Detector Location,Detector Data,Simulate Data,Difference,Detector Location,Detector Data,Simulate Data,Difference,MPACT Data,Difference
J1,0.9488144246324266,0.957508996913,0.00869457228079,L1,0.474737420402,0.475900425236,0.00116300483424,,
F1,0.7717812575526887,0.798761440237,0.0269801826838,K1,0.805110954625,0.801516505661,-0.00359444896396,,
N2,0.4565253002523196,0.457152773972,0.000627473720002,J1,0.982243372406,0.954806537369,-0.0274368350373,,
K2,1.050084105339874,1.08510988108,0.0350257757364,H1,0.961684911917,0.965827389322,0.00414247740456,,
H2,1.054007787521393,1.11123289673,0.0572251092119,G1,0.982243372406,0.947793267944,-0.0344501044618,,
H3,1.024392703091865,1.07707203011,0.0526793270155,F1,0.805110954625,0.796507027501,-0.00860392712434,,
F3,1.026672875263968,1.05999159679,0.0333187215322,E1,0.474737420402,0.473896633972,-0.000840786429909,,
D3,1.051285181533246,1.05798213405,0.00669695251949,N2,0.465163196967,0.455862512595,-0.00930068437228,,
B3,0.4595477273077372,0.457152773972,-0.002394953336,M2,0.859036516319,0.843596122208,-0.0154403941108,,
P4,0.839339507115666,0.843974351948,0.00463484483231,K2,1.07851850632,1.08204728264,0.00352877632241,,
N4,1.054946765624346,1.05798213405,0.00303536842949,J2,1.08012395456,1.11310604724,0.0329820926768,,
H4,1.057315134890464,1.09917612028,0.0418609853855,H2,1.10471137594,1.10809656908,0.00338519313639,,
L5,1.058610899151149,1.08209568696,0.0234847878123,G2,1.08012395456,1.10208519528,0.0219612407239,,
G5,1.143602746362406,1.14237956924,-0.00122317711568,F2,1.07851850632,1.07503401322,-0.00348449310213,,
E5,1.059434453626026,1.08209568696,0.0226612333323,D2,0.859036516319,0.841592330944,-0.0174441853749,,
C5,1.113327229975413,1.11022816536,-0.00309906461942,C2,0.465163196967,0.454860616963,-0.0103025800044,,
R6,0.8060170015023348,0.798761440237,-0.00725556126521,P3,0.465163196967,0.454860616963,-0.0103025800044,,
N6,1.043375632913377,1.05999159679,0.0166159638822,N3,0.989819709813,0.982859615067,-0.00696009474615,,
K6,1.140020549043609,1.15644580844,0.0164252594035,M3,1.07173387609,1.05699989184,-0.0147339842495,,
H6,1.085331283025195,1.10922343399,0.0238921509592,L3,1.11034580447,1.10709467344,-0.00325113102569,,
B6,1.116043814748571,1.08510988108,-0.0309339336736,K3,1.05022318917,1.06200937,0.0117861808309,,
M7,1.064368364477453,1.08410514971,0.019736785225,J3,1.1625441549,1.12212310793,-0.0404210469745,,
J7,1.110126200245596,1.12429440456,0.0141682043097,H3,1.06580015992,1.07403211759,0.0082319576658,,
F7,1.134923098910277,1.11424709085,-0.020676008064,G3,1.1625441549,1.10709467344,-0.0554494814557,,
C7,1.168986466863686,1.12529913593,-0.0436873309289,F3,1.05022318917,1.05699989184,0.0067767026705,,
R8,0.9654086199768254,0.968561041998,0.00315242202082,E3,1.11034580447,1.10408898655,-0.00625681792191,,
N8,1.056799393785722,1.07707203011,0.0202726363155,D3,1.07173387609,1.05499610058,-0.0167377755137,,
L8,1.084717722296146,1.08611461245,0.00139689014777,C3,0.989819709813,0.982859615067,-0.00696009474615,,
J8,1.131372663859402,1.12931806142,-0.00205460244345,B3,0.465163196967,0.455862512595,-0.00930068437228,,
F8,1.117230338757551,1.11022816536,-0.00700217339942,P4,0.859036516319,0.841592330944,-0.0174441853749,,
D8,1.093580381945775,1.09917612028,0.00559573832554,N4,1.07173387609,1.05499610058,-0.0167377755137,,
C8,1.099074377182321,1.07707203011,-0.0220023470745,M4,0.979162756619,1.04798283115,0.0688200745328,,
B8,1.143294709927534,1.11123289673,-0.0320618131981,K4,1.11087707737,1.10809656908,-0.00278050829361,,
G9,1.13490303031797,1.1263038673,-0.00859916301755,J4,1.06916301529,1.08204728264,0.0128842673524,,
E9,1.144599713811756,1.14338430062,-0.00121541319431,H4,1.07864147499,1.09607382149,0.0174323465015,,
A9,1.004435608994646,0.951480608685,-0.0529550003054,G4,1.06916301529,1.08004349138,0.0108804760883,,
L10,1.05134884948372,1.04693008896,-0.00441876051555,F4,1.11087707737,1.10609277781,-0.00478429955776,,
J10,1.148026289556463,1.11826601633,-0.0297602732285,D4,0.979162756619,1.04798283115,0.0688200745328,,
D10,1.124311527832957,1.10922343399,-0.0150880938408,C4,1.07173387609,1.05699989184,-0.0147339842495,,
R11,0.4779847158178179,0.477247401399,-0.000737314418657,B4,0.859036516319,0.843596122208,-0.0154403941108,,
L11,1.121104640581937,1.08209568696,-0.0390089536177,R5,0.474737420402,0.473896633972,-0.000840786429909,,
H11,1.116754154593254,1.08611461245,-0.0306395421422,N5,1.11034580447,1.10408898655,-0.00625681792191,,
E11,1.076840306752499,1.08209568696,0.0052553802123,L5,1.07607152044,1.07904159575,0.00297007530618,,
A11,0.4883407283005775,0.475237938657,-0.0131027896444,K5,1.04407388534,1.04297335299,-0.00110053234857,,
K12,1.135282500478389,1.10922343399,-0.0260590664908,J5,1.14275445509,1.12713258609,-0.0156218690042,,
G12,1.088901778615479,1.08510988108,-0.0037918975436,H5,1.09302310669,1.08204728264,-0.0109758240476,,
D12,1.004351356599663,1.05094901445,0.0465976578499,G5,1.14275445509,1.13915533367,-0.00359912141924,,
N13,1.006526179526473,0.985641475311,-0.0208847042189,F5,1.04407388534,1.04497714426,0.000903258915584,,
L13,1.125748114783713,1.10721397125,-0.0185341435335,E5,1.07607152044,1.07904159575,0.00297007530618,,
H13,1.095212785780096,1.07707203011,-0.0181407556745,C5,1.11034580447,1.10709467344,-0.00325113102569,,
N14,0.470192201645199,0.456148042601,-0.0140441590444,A5,0.474737420402,0.475900425236,0.00116300483424,,
J14,1.109311075877719,1.1052045085,-0.00410656737626,R6,0.805110954625,0.796507027501,-0.00860392712434,,
F14,1.077302268008508,1.08510988108,0.0078076130664,P6,1.07851850632,1.07503401322,-0.00348449310213,,
L15,0.4861440521951778,0.475237938657,-0.0109061135384,N6,1.05022318917,1.05699989184,0.0067767026705,,
H15,0.9820194017436236,0.968561041998,-0.0134583597462,M6,1.11087707737,1.10609277781,-0.00478429955776,,
,,,,L6,1.04407388534,1.04497714426,0.000903258915584,,
,,,,K6,1.01670007418,1.15318187252,0.13648179834,,
,,,,J6,1.13515609701,1.11010036034,-0.0250557366695,,
,,,,H6,1.10139904258,1.10609277781,0.00469373523224,,
,,,,G6,1.13515609701,1.11410794287,-0.0210481541412,,
,,,,F6,1.01670007418,1.15318187252,0.13648179834,,
,,,,E6,1.04407388534,1.04397524862,-9.86367164921e-05,,
,,,,D6,1.11087707737,1.10809656908,-0.00278050829361,,
,,,,C6,1.05022318917,1.06301126563,0.012788076463,,
,,,,B6,1.07851850632,1.08204728264,0.00352877632241,,
,,,,A6,0.805110954625,0.802518401293,-0.00259255333188,,
,,,,R7,0.982243372406,0.948795163576,-0.0334482088297,,
,,,,P7,1.08012395456,1.10208519528,0.0219612407239,,
,,,,N7,1.1625441549,1.10709467344,-0.0554494814557,,
,,,,M7,1.06916301529,1.08104538701,0.0118823717203,,
,,,,L7,1.14275445509,1.13915533367,-0.00359912141924,,
,,,,K7,1.13515609701,1.11410794287,-0.0210481541412,,
,,,,J7,1.11944284713,1.12112121229,0.00167836516338,,
,,,,H7,1.12993206711,1.12412689919,-0.00580516792039,,
,,,,G7,1.11944284713,1.12112121229,0.00167836516338,,
,,,,F7,1.13515609701,1.11110225597,-0.0240538410374,,
,,,,E7,1.14275445509,1.12813448172,-0.0146199733721,,
,,,,D7,1.06916301529,1.08204728264,0.0128842673524,,
,,,,C7,1.1625441549,1.12212310793,-0.0404210469745,,
,,,,B7,1.08012395456,1.11310604724,0.0329820926768,,
,,,,A7,0.982243372406,0.954806537369,-0.0274368350373,,
,,,,R8,0.961684911917,0.965827389322,0.00414247740456,,
,,,,P8,1.10471137594,1.10809656908,0.00338519313639,,
,,,,N8,1.06580015992,1.07403211759,0.0082319576658,,
,,,,M8,1.07864147499,1.09607382149,0.0174323465015,,
,,,,L8,1.09302310669,1.08304917827,-0.00997392841552,,
,,,,K8,1.10139904258,1.10709467344,0.00569563086432,,
,,,,J8,1.12993206711,1.12613069045,-0.00380137665624,,
,,,,G8,1.12993206711,1.12613069045,-0.00380137665624,,
,,,,F8,1.10139904258,1.10709467344,0.00569563086432,,
,,,,E8,1.09302310669,1.08304917827,-0.00997392841552,,
,,,,D8,1.07864147499,1.09607382149,0.0174323465015,,
,,,,C8,1.06580015992,1.07403211759,0.0082319576658,,
