Calendar days since BOC,82,,,,,,
Core Burnup [MWD/MT],669.3,,,,,,
Inlet Coolant Temperature [F],558.77499999999998,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,2509.6,642.,228.,228.,228.,160.,230.
1,2508.2,648.,228.,228.,228.,160.,230.
2,2491.3,645.,228.,228.,228.,160.,230.
3,2501.0,645.,228.,228.,228.,160.,230.
4,2476.3,647.,228.,228.,228.,158.,230.
5,2481.1,648.,228.,228.,228.,158.,230.
6,2494.6,648.,228.,228.,228.,158.,230.
7,2489.4,647.,228.,228.,228.,158.,230.
8,2494.9,645.,228.,228.,228.,158.,230.
9,2502.7,647.,228.,228.,228.,158.,230.
10,2499.2,647.,228.,228.,228.,158.,230.
11,2497.2,641.,228.,228.,228.,158.,230.
12,2499.9,616.,228.,228.,228.,158.,230.
,,,,,,,
Average Power [MWt],2495.8,,,,,,
Average Boron [ppm],643.5384615384615,,,,,,
