Calendar days since BOC,54,,,,,,
Core Burnup [MWD/MT],149.4,,,,,,
Inlet Coolant Temperature [F],557.97500000000002,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,1054.4,744.,228.,228.,229.,162.,230.
1,1065.3,761.,228.,228.,229.,162.,230.
2,1076.1,764.,228.,228.,229.,162.,230.
3,1087.0,753.,228.,228.,229.,162.,230.
4,1108.9,753.,228.,228.,229.,162.,230.
5,1100.0,752.,228.,228.,229.,162.,230.
6,1113.2,756.,228.,228.,229.,162.,230.
7,1129.4,769.,228.,228.,229.,162.,230.
8,1133.0,750.,228.,228.,229.,162.,230.
9,1127.6,745.,228.,228.,229.,162.,230.
10,1125.9,752.,228.,228.,229.,162.,230.
11,1125.9,762.,228.,228.,229.,162.,230.
12,1130.8,750.,228.,228.,229.,162.,230.
,,,,,,,
Average Power [MWt],1105.9615384615383,,,,,,
Average Boron [ppm],754.6923076923077,,,,,,
