Calendar days since BOC,35,,,,,,
Core Burnup [MWD/MT],1136.5,,,,,,
Inlet Coolant Temperature [F],560.27499999999998,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3400.7,876.,228.,228.,228.,214.,230.
1,3399.5,876.,228.,228.,228.,215.,230.
2,3397.9,876.,228.,228.,228.,215.,230.
3,3403.8,876.,228.,228.,228.,215.,230.
4,3395.6,876.,228.,228.,228.,215.,230.
5,3403.6,876.,228.,228.,228.,215.,230.
6,3401.0,876.,228.,228.,228.,215.,230.
7,3401.4,876.,228.,228.,228.,215.,230.
8,3396.7,876.,228.,228.,228.,215.,230.
9,3398.5,876.,228.,228.,228.,215.,230.
10,3403.8,876.,228.,228.,228.,215.,230.
,,,,,,,
Average Power [MWt],3400.2272727272725,,,,,,
Average Boron [ppm],876.0,,,,,,
