Calendar days since BOC,468,,,,,,
Core Burnup [MWD/MT],11083.9,,,,,,
Inlet Coolant Temperature [F],560.82500000000005,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3398.8,180.,228.,228.,228.,217.,230.
1,3397.3,180.,228.,228.,228.,217.,230.
2,3405.8,180.,228.,228.,228.,217.,230.
3,3405.8,180.,228.,228.,228.,218.,230.
4,3414.3,180.,228.,228.,228.,218.,230.
5,3417.2,180.,228.,228.,228.,218.,230.
6,3407.5,180.,228.,228.,228.,218.,230.
7,3412.5,180.,228.,228.,228.,218.,230.
8,3406.9,180.,228.,228.,228.,218.,230.
9,3409.3,180.,228.,228.,228.,218.,230.
10,3410.2,180.,228.,228.,228.,218.,230.
,,,,,,,
Average Power [MWt],3407.781818181818,,,,,,
Average Boron [ppm],180.0,,,,,,
