Calendar days since BOC,551,,,,,,
Core Burnup [MWD/MT],12915.2,,,,,,
Inlet Coolant Temperature [F],558.95000000000005,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,2875.5,50.,228.,228.,228.,216.,230.
1,2866.0,50.,228.,228.,228.,216.,230.
2,2862.0,50.,228.,228.,228.,216.,230.
3,2860.1,50.,228.,228.,228.,216.,230.
4,2864.9,50.,228.,228.,228.,216.,230.
5,2865.9,50.,228.,228.,228.,216.,230.
6,2886.1,50.,228.,228.,228.,216.,230.
7,2897.8,50.,228.,228.,228.,216.,230.
8,2888.4,50.,228.,228.,228.,216.,230.
9,2885.6,50.,228.,228.,228.,216.,230.
10,2888.4,50.,228.,228.,228.,216.,230.
11,2892.6,50.,228.,228.,228.,216.,230.
12,2895.8,50.,228.,228.,228.,216.,230.
13,2893.6,50.,228.,228.,228.,216.,230.
14,2891.6,50.,228.,228.,228.,216.,230.
15,2891.2,50.,228.,228.,228.,216.,230.
,,,,,,,
Average Power [MWt],2881.59375,,,,,,
Average Boron [ppm],50.0,,,,,,
