Calendar days since BOC,88,,,,,,
Core Burnup [MWD/MT],878.7,,,,,,
Inlet Coolant Temperature [F],560.0,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3049.0,630.,228.,228.,228.,217.,230.
1,3055.3,631.,228.,228.,228.,217.,230.
2,3055.4,639.,228.,228.,228.,217.,230.
3,3050.7,634.,228.,228.,228.,217.,230.
4,3049.4,630.,228.,228.,228.,217.,230.
5,3045.7,634.,228.,228.,228.,217.,230.
6,3043.9,634.,228.,228.,228.,217.,230.
7,3048.1,630.,228.,228.,228.,217.,230.
8,3048.4,631.,228.,228.,228.,217.,230.
9,3046.7,630.,228.,228.,228.,217.,230.
10,3061.2,631.,228.,228.,228.,217.,230.
11,3059.6,631.,228.,228.,228.,217.,230.
12,3058.7,636.,228.,228.,228.,217.,230.
,,,,,,,
Average Power [MWt],3051.7,,,,,,
Average Boron [ppm],632.3846153846154,,,,,,
