Cycle 1,,,
N   05,423101,6785,1.6036360113
N   06,424140,10176,2.3992078087
N   07,425284,6870,1.6153911269
N   08,424883,10175,2.3947769151
N   09,425421,6872,1.6153410386
N   10,424268,10175,2.398248277
N   11,424275,6852,1.6149902775
N   12,424620,10163,2.3934341293
N   13,422582,13101,3.1002267016
N   14,425319,13149,3.091561863
P   03,424427,13146,3.0973524305
P   04,425671,13187,3.0979324408
P   05,422784,13107,3.1001646231
P   06,423297,6826,1.6125793474
P   07,425103,13163,3.0964260426
P   08,423857,6827,1.6106847357
P   09,420685,13284,3.157707073
P   10,424630,6827,1.6077526317
P   11,423052,13116,3.1003280921
P   12,423471,13111,3.0960797788
P   13,422419,13108,3.1030801171
R   05,423062,13099,3.0962364854
R   06,422801,13119,3.1028781862
R   07,426100,13196,3.0969256043
R   08,424656,13155,3.0978015146
R   09,425240,13172,3.0975449158
R   10,422084,13071,3.0967769449
R   11,421775,13100,3.1059214036
,,,
Cycle 2,,,
A   06,426378,14523,3.4061325866
A   07,425150,13582,3.1946371869
A   08,426115,14522,3.4080001877
A   09,425256,13588,3.1952518013
A   10,425004,14481,3.4072620493
B   04,424679,13568,3.1948836651
B   05,424804,13591,3.1993578215
B   11,425385,13581,3.192637258
B   12,425013,13591,3.1977845384
C   03,426452,14523,3.4055415381
C   06,425896,13653,3.2057121926
C   10,425229,13600,3.1982766933
C   13,426588,14507,3.40070513
D   02,425787,13600,3.1940853056
D   05,426941,13636,3.1938839324
D   11,425586,13580,3.1908944373
D   14,425027,13576,3.1941500187
E   02,424137,13537,3.1916574126
E   04,426071,13608,3.1938338915
E   06,423952,13485,3.1807846171
E   10,426192,13632,3.1985583962
E   12,424567,13551,3.1917223901
E   14,424969,13613,3.2032924755
F   01,426533,14524,3.4051292632
F   03,425176,13601,3.1989105688
F   05,425158,13594,3.197399555
F   11,424465,13545,3.1910758249
F   13,424866,13596,3.2000677861
F   15,426756,14527,3.4040529014
G   01,424316,13554,3.1943174427
G   15,425838,13648,3.2049746617
H   01,424172,14448,3.4061654235
H   15,426814,14554,3.4099162633
J   01,426796,13635,3.194734721
J   15,424420,13552,3.1930634749
K   01,424667,14464,3.4059627897
K   03,424774,13549,3.1896961678
K   05,425597,13596,3.1945713903
K   11,425570,13629,3.2025283737
K   13,424532,13566,3.1955188301
K   15,426322,14520,3.4058763095
L   02,425023,13605,3.2010032398
L   04,427865,13665,3.1937643883
L   06,425056,13597,3.1988726191
L   10,424429,13585,3.2007709181
L   12,424652,13520,3.1837834274
L   14,424696,13559,3.1926366154
M   02,425055,13586,3.1962922445
M   05,424994,13578,3.1948686334
M   11,424679,13566,3.1944127211
M   14,426884,13639,3.1950131652
N   03,427113,14526,3.4009735129
N   06,424710,13587,3.1991241082
N   10,425867,13611,3.1960682561
N   13,427170,14549,3.4059039727
P   04,425199,13588,3.1956801404
P   05,425430,13593,3.1951202313
P   11,426461,13632,3.1965408326
P   12,425352,13585,3.1938253494
R   06,425527,14493,3.4058943381
R   07,426122,13614,3.1948596881
R   08,426663,14554,3.4111230643
R   09,425742,13589,3.191839189
R   10,424350,14449,3.4049723106
