Location,K12,uncertainty,D10,uncertainty,D12,uncertainty,H03,uncertainty,H02,uncertainty,L10,uncertainty,H06,uncertainty,F07,uncertainty,G09,uncertainty,F03,uncertainty,F08,uncertainty,A11,uncertainty,R11,uncertainty,E09,uncertainty,G12,uncertainty,E11,uncertainty,N08,uncertainty,L15,uncertainty,J14,uncertainty,N06,uncertainty,J10,uncertainty,N02,uncertainty,K02,uncertainty,E05,uncertainty,K06,uncertainty,L08,uncertainty,H11,uncertainty,L05,uncertainty,H13,uncertainty,H15,uncertainty,D08,uncertainty,B03,uncertainty,B06,uncertainty,B08,uncertainty,C05,uncertainty,F14,uncertainty,C07,uncertainty,A09,uncertainty,N14,uncertainty,R06,uncertainty,R08,uncertainty,J08,uncertainty,P04,uncertainty,J01,uncertainty,P09,uncertainty,J07,uncertainty,B13,uncertainty
0.0,0.0086569739145530445,0.30968130685361644,0.0086932285983184875,0.32165054091823231,0.0068861516389185726,0.30193683694240658,0.0073635875960967757,0.12461687708211079,0.0074776629920410313,0.22915478631072214,0.0065407723864387953,0.22570695206303087,0.0075891180319528654,0.34330578653976285,0.0073957526410617629,0.082312830015581984,0.0099373851265746917,0.25920864299026602,0.0061707570784037546,0.33182045564844642,0.0076947847315951513,0.28984127742933347,0.0031489343138683063,0.37124282730021374,0.0032593714395347168,0.3061524123919433,0.0078287255470124925,0.34055766277348098,0.0065221964618645718,0.26571015873309034,0.009079195663644327,0.048911240334153741,0.007707994010501179,0.14557747134909424,0.0036528936547875427,0.098987268578387813,0.0031393272284261859,0.85150774895638348,0.0066988551467369855,0.25338280770184574,0.0073366535504739063,0.29593659743092371,0.0037038124422020817,0.32496105027539507,0.0070938818019114572,0.21593296140833029,0.009168153003790841,0.30750711199798425,0.0074334883506375956,0.42431731549869961,0.0072348113208652049,0.33557008451078352,0.0053057344726657307,0.68182586830302805,0.0081467477753412107,0.25865900729430125,0.0074562704884292034,-0.11078288503046824,0.0050632229614173269,-0.018111790812420044,0.0088586789938209076,0.29731448245471936,0.0036562109387609908,0.3407948039833899,0.0076722397557772793,0.023262008968282764,0.0094764896253193825,0.2552299047586255,0.0082532040720239321,0.32475715873815858,0.0063850496443783209,0.43029871694060429,0.0083681418466761519,0.10850289893650523,0.0049557377976878481,0.080160868046800962,0.0030732154539256408,0.46545137266667724,0.0039182170185964827,0.3517415468433544,0.0045090555623212725,0.28202461211362007,0.0066642317715860464,0.36536757410259219,0.0047247695473086873,0.33468591969624056,0.0055118958058822569,-0.12358534286347178,0.0055563613061968631,0.32725836104581568,0.0084332028123609865,0.53503875424003056,0.002937195681173517,0.58442990573584852
6.0960000000000001,0.01128761397023932,0.2490055003417968,0.011560688730755862,0.24825620745977484,0.0087398328137604023,0.29918112996836016,0.0080712281683245259,0.33914851794531303,0.0089945356000534649,0.31033989181624444,0.0077938973257290723,0.33861087987168642,0.010166099116614324,0.25825568880860461,0.0076885765468465376,0.23896696999265493,0.012666075461816573,0.21925982543602737,0.0081789377214409442,0.22674372682114663,0.0097877895190333422,0.27467120336198403,0.0044570634186324905,0.30306441942657242,0.0041427198524217447,0.3070397292756773,0.010371512138643827,0.26633151629837698,0.0080774596881829485,0.29563624509555608,0.0094169837987974157,0.28000843140803799,0.0086281315907851576,0.29849337011164656,0.0039116291383686904,0.30224616349485683,0.0054627378673109059,0.47599802351132775,0.0081534212262685726,0.31265972085016713,0.0093591803740295954,0.2415279318625817,0.0048878007271067614,0.2704393816030301,0.0084027118316080153,0.31174799789695795,0.012025460717182253,0.24074612849932359,0.011473725450040221,0.32575349350601807,0.0099011032028697762,0.26977722458777809,0.0079310978665999218,0.38348927727430265,0.0099950524968595768,0.28252156396855438,0.0067668322079607072,0.38563302272650746,0.0048336093258275316,0.3132177134284222,0.011354292387786024,0.23927181928882132,0.0050736841553362345,0.28936605611783134,0.0078218106630028074,0.37214232774079414,0.011903509091986259,0.20620586997756085,0.011103380039667259,0.2629620533916302,0.0099270482350450832,0.3343898643760404,0.009163934748937428,0.34250655131765273,0.0052539310305445112,0.34196110279727121,0.0047946349321835299,0.35875023270042439,0.0052710366745360735,0.28334973714654305,0.0056101041564918857,0.28630832633194842,0.0091728635622908995,0.28056408977681052,0.006453679586982267,0.28021877258245842,0.004775027783135025,0.36749450503710396,0.0073250569113090178,0.26097914473759448,0.010800187681105499,0.27318520170465244,0.0039733661300274722,0.3062530027808632
12.192,0.013909044335099792,0.20026308090078473,0.014110047467901333,0.19115402327235928,0.011283744310621756,0.25554721028485178,0.010840575392240382,0.31961053464682665,0.011806376100123552,0.2723195892301099,0.010439331576114501,0.30301641763232035,0.012525307562793282,0.21349999055377256,0.0092754655975872055,0.26771631663259909,0.015013855182992159,0.17084805060819777,0.0095493142934361848,0.25338968553464836,0.012363391271733547,0.22723961231846271,0.0054977453873795963,0.22956321026832197,0.0053818997481583468,0.27087132985363171,0.012995808645191688,0.21568521536045229,0.010348966927876029,0.25581272129886712,0.011982996844108031,0.27163747677879285,0.011241651321953297,0.28457465762458767,0.005050872716508779,0.30035054715012105,0.0079335164846048561,0.32294078840656687,0.010677721948365726,0.27700078174853648,0.011475805147012273,0.20385572255565104,0.0060251624041676652,0.22285808085430156,0.010968552925714952,0.27952695318993176,0.014680460639827834,0.1891507808983309,0.014139308751897367,0.20355593498186242,0.012064646323512656,0.1903673827029064,0.01076802119932212,0.26954302812203301,0.012834761522287226,0.24752498937170281,0.0093171162491849664,0.38671334595301249,0.0062449986604412346,0.323741216840155,0.01395972208688157,0.19803380558885852,0.0061572957736303995,0.21528799516421349,0.010731995173446378,0.35788679190735839,0.014084676718933153,0.16690379063606517,0.013613466715787316,0.19985750437705632,0.012241829735346653,0.20695459128410654,0.012364307105955163,0.32236563352815051,0.0069990983908227392,0.3261969320226335,0.0060927622517940152,0.24708976148045517,0.0065653985775790107,0.23136028993940702,0.0071449481914053915,0.24954177341392736,0.011352342151168426,0.21059682170286215,0.0078206862426169182,0.20728429806314222,0.006390464788854076,0.38086189004245408,0.0089983387302495846,0.20699291684851143,0.013227471442769961,0.19121349470692633,0.0049469971426433414,0.25576714053348676
18.288,0.015944374482448832,0.14088653204824972,0.016197263465714026,0.14104294704237683,0.013652501398441257,0.18700480347243204,0.013137405257555586,0.18390202318489718,0.014089636164854383,0.17371640761743884,0.012694314051254988,0.18370248540286388,0.015145117508218573,0.18854385302304363,0.011689379203053921,0.22450515618268874,0.016952559908109986,0.12591625175961096,0.011805116255194766,0.24174188176292252,0.01494931703265894,0.18131276507072275,0.0063159905147497537,0.17348439218214382,0.0062841430201571206,0.19821634980224717,0.015493953340140658,0.17214494370888009,0.012577607886095738,0.1847375484466178,0.014406394096989426,0.18293569464168399,0.013358836239096479,0.17074537966584846,0.0060999484909789762,0.20461751122424188,0.0098334818687782089,0.21156408980945252,0.012776012993441855,0.17234170515065653,0.013491997608820066,0.16647916419640185,0.0069643399846620714,0.17974640483450396,0.013471978350094626,0.19651479884933559,0.016550038179499345,0.13622223079913728,0.016278581691486559,0.14078497328169851,0.013963421450924926,0.14974306761899023,0.012789711516535006,0.18505192883203073,0.015107275048867282,0.17276377896666856,0.011783998365999065,0.20333822917260244,0.0076392222425373506,0.20543159851626969,0.016045245932511866,0.14333278533931437,0.0069708397884245474,0.16357357477950873,0.013541621641269539,0.21087565054686278,0.015954831346355423,0.12933883511127597,0.01555343735872655,0.13891568025508222,0.014309013382263452,0.15560333077246902,0.015177155360581979,0.18834402215350601,0.0086142357915481339,0.20627610871671062,0.0070161469032436674,0.17671279075808347,0.0076453879448685159,0.17602027052866839,0.0083205610959577059,0.17485939851452803,0.01308610054720789,0.15167756879837366,0.0090446752839188332,0.16115886238908206,0.0081584061100679981,0.22852523028816651,0.01064742801699194,0.17648633373792508,0.015421273420961295,0.15611136414832497,0.0061587729898175915,0.24431527521825852
24.384,0.017608371569939683,0.108135198556027,0.017680610368636988,0.1034940951470663,0.01542343863798999,0.13020678600177998,0.014684938134361218,0.12396800864598513,0.015957188399622301,0.13270741204581066,0.014386115494455759,0.13087046481776393,0.017303533338267785,0.1349852803036167,0.013723394316148283,0.16081238520421326,0.018326691015223429,0.091228018983205469,0.013783821815093215,0.15293251904760011,0.017008093157424853,0.13344631258622025,0.0069175023467512543,0.15572784558614178,0.0070808388879030478,0.16805676123726479,0.017464982806015633,0.12498321139137331,0.014260581276003428,0.13236515411602809,0.016560068330027787,0.14712038976767539,0.014738053694535099,0.11400181903122966,0.0068772001755677105,0.16300454103166626,0.011254245684657226,0.14937919532446214,0.014283776589684084,0.12032823123344187,0.015091176183886628,0.12414998645070452,0.0077216234778401203,0.14385565982065698,0.01529790905536455,0.13249374720940574,0.018336355700158128,0.11336791545094696,0.017931772239477693,0.10449650936289098,0.015547702545046366,0.11973960998997978,0.014628074915250956,0.14412705845785731,0.017140135802839351,0.13591496827819635,0.013416934117971976,0.13901227816474498,0.0087477791720053932,0.16289987196560843,0.017768322303523026,0.10884347389262228,0.0075562667480373871,0.1425997765551047,0.015268546527980898,0.1297797196184686,0.017246965839378955,0.10294234403049188,0.017250402760537527,0.11103094491523557,0.016035586955748981,0.12374404926243648,0.016867699948426976,0.11381810468045062,0.0096036651151332822,0.13868038753121562,0.0078015983945561264,0.14465156781598232,0.0084918307254414141,0.1412913623616433,0.0092694601567229976,0.13741651095298102,0.014551096271689434,0.119337133386039,0.0098808332053910708,0.12093377788439423,0.009254032496456498,0.15078238859135784,0.012073494039681524,0.1343811889492674,0.017426689853248304,0.12623903439659309,0.0070816916666618527,0.17615478276457538
30.48,0.019156708968904049,0.091482218622936567,0.019134137066012035,0.089237347736220135,0.016919803502325002,0.10257574447917849,0.016132439876735401,0.10404067001356579,0.017562992379576911,0.10556009444137393,0.015749033795177669,0.10564670858246723,0.018754363118768231,0.090928833933457826,0.015107631916036817,0.11268040468423342,0.019607480903999074,0.07825770929301773,0.01513021394215684,0.11085513626291703,0.018635258781691269,0.099227343426488632,0.0075854864868379526,0.14268785818385718,0.0077750177518757834,0.13724539122944412,0.019009165676016543,0.091539042405023946,0.015684690105238441,0.10837671801836381,0.018399709449861346,0.11063512094673475,0.016103974472453802,0.099772182859981393,0.0075137268412496065,0.13580501838019413,0.012431798106315105,0.11348054668361078,0.015477674705461833,0.097498202019583563,0.016362185430645725,0.097200338121734106,0.0083531843252682095,0.12390145384740225,0.016574869716539153,0.1046996450698168,0.019876234716574542,0.087459905389916034,0.019351481365001328,0.083858181700291717,0.016808010411750559,0.090838069357168719,0.016218330993961323,0.1144405485982195,0.01893828676124195,0.10365948393224909,0.014986150183098268,0.11924506151710521,0.0097122162234505559,0.13571869223816727,0.019336928784786586,0.090918443843406707,0.0082502831931198142,0.13542077993246682,0.016866674683387484,0.10656851733467369,0.01863142362940132,0.094626793695335318,0.018769571180681593,0.094177244711313501,0.017381613616444171,0.093034810878041135,0.018444327664499115,0.096673672107697228,0.010480451804518441,0.11231415103794938,0.0083440960984351477,0.122757399611282,0.0092808230498120613,0.12394410077471657,0.010069431159149022,0.11172490051062771,0.016007358041078962,0.10810250126956962,0.010376115451588069,0.14021022828531801,0.010210441566515488,0.12089216688324042,0.013204316972201638,0.098467323997650957,0.019119057689436298,0.098392189655135201,0.0076878612644496278,0.13051263024785789
36.576000000000001,0.02040943564519996,0.068707337881015212,0.020266052877416906,0.06403035389354228,0.01837426947951544,0.092480211169077342,0.016839455042165899,0.085445992205940513,0.018762843782554467,0.079809361625678504,0.01689895458409665,0.085299499036765758,0.020038748339421642,0.076097384347749208,0.016372315485435489,0.096663730240119289,0.020626085388931587,0.058605762499222974,0.016352901084089391,0.092736325647631263,0.019964134959119154,0.078329946866491806,0.0081878422589567856,0.12244674398410632,0.0081597159745773942,0.11300376042512174,0.020201197436992113,0.067154655313669862,0.017074714479361947,0.096716956095198814,0.019854282637161869,0.082510834297779445,0.016792707904386073,0.085101233428319545,0.008059551873278446,0.11906260817759769,0.013417545633874326,0.095888564776693982,0.016463731077555395,0.08152091631864733,0.017402113923772888,0.079680094231187867,0.0088226235744766138,0.11423521493273765,0.017991462359504211,0.098632821004782462,0.021068275332479985,0.063691379217426056,0.0206338028765496,0.069674841533818047,0.017830740431691649,0.076313166900194115,0.017261115686361468,0.079995729187660361,0.020351810271084868,0.074856274104818252,0.015776292196030856,0.10111234800333589,0.010462987983761765,0.10485410257113749,0.020562738665708409,0.067225236082639361,0.0088728994379942173,0.12261554521128136,0.017937823068814862,0.082865183068588005,0.019864243482908044,0.073449793838985547,0.019847469901950666,0.068091194614326694,0.018452288585418426,0.075586638543966689,0.019526516454327531,0.075119659258818222,0.011033441019157129,0.098314178330731278,0.0088510204722228748,0.11804843732636369,0.009911891567876651,0.10743542589588646,0.010679889407355266,0.092628782640510665,0.017201062477392153,0.087268863152554069,0.011668291823791001,0.16320437304112301,0.01085761622299828,0.097571304494754096,0.014138549061371941,0.092276310584791604,0.020307066513568804,0.066383995583217795,0.0081620783632034254,0.11738742146621779
42.671999999999997,0.02127343721260775,0.052705786461753307,0.021184542540492984,0.053789044335773972,0.019449027901026615,0.068415446164688101,0.017786790808769753,0.083912684434151771,0.019694937588195887,0.061983753997673682,0.017921035768045847,0.076212888216483907,0.021046511937631841,0.057430317909853215,0.017426503051997114,0.08041803688911163,0.021389995886723145,0.048295000369323715,0.016984201085263162,0.076920529690749501,0.020934999175094369,0.055968378473227706,0.0085996779009380429,0.11045497897983486,0.0085850720159947238,0.11309040173939833,0.021022793955517136,0.048622666582893492,0.01814199776356307,0.075585569864869737,0.020730396180659798,0.060681101954439785,0.017711190159589406,0.083093750483730647,0.0085068686311504764,0.11275660875401064,0.014394535422298644,0.097788936730189041,0.017121404005864149,0.06878055132460402,0.018237062544946777,0.065531396233174055,0.0091926057218442991,0.099176223183756074,0.019174977535751172,0.072796047110596146,0.021769391914056205,0.050883812549037115,0.021496341729442797,0.051801070753307449,0.018525476368039421,0.060633955750182558,0.018213726657683293,0.070093989759555969,0.021244326619156609,0.060034500664923572,0.016850694024897517,0.096443752263224686,0.011049917576955609,0.095237360530806559,0.021345453614091139,0.049785627194149792,0.0092828015702732854,0.10069554625040912,0.018938219515341543,0.073531441515308091,0.020507362198990756,0.04546681572885039,0.020558599322492561,0.047227961095465835,0.01926032138946937,0.058009743953470548,0.020549587059600728,0.062172630944675102,0.011551388906747517,0.095272162436485397,0.009310893437068906,0.10289019255658972,0.010383395526560707,0.090690359169490503,0.011171266282677781,0.090665062875009403,0.018046053584276998,0.066250605792275707,0.012584107365578568,0.094242733635124976,0.01144136860450699,0.094866258553583854,0.014804288382041222,0.079227635791949358,0.021223885023751606,0.053945196730852886,0.0086361116182573187,0.11432005191630754
48.768000000000001,0.021926522668028067,0.045727942693952438,0.02174768019033696,0.045307462176962673,0.020157062917060608,0.051576903210952672,0.01862172903739151,0.064367908094502588,0.020339948077913599,0.049661966336867674,0.018666592840047649,0.061925030306034884,0.021812480915204741,0.047815384407361182,0.018271080768844258,0.065702559126093671,0.02185574667114653,0.041280456303146612,0.017814164780641618,0.076477416099509116,0.021626009510203562,0.046207276453151071,0.0089378756593637022,0.10617912791439546,0.0088934584321974392,0.10570577605182765,0.021631512743621753,0.043968749280315536,0.018826988288639653,0.058159782583341132,0.021558742493328911,0.055546556712680037,0.018526383914992939,0.063235331256531274,0.0087870379611776853,0.10446785624065642,0.015103088621478737,0.079749864776081952,0.017577031763774301,0.060175985905329014,0.018824426604133342,0.055658931932045713,0.0095079167665605719,0.0906059932087728,0.019835984383951507,0.049984417585675879,0.022398527257283356,0.040602914629983534,0.021988021343691336,0.043752737206005927,0.01905029443286952,0.053199785031448558,0.018886215430776346,0.058710670670982769,0.022093463064598848,0.050622643396804536,0.017874360006248164,0.07499976020923517,0.01151665245962968,0.091275058345667889,0.02190594487615169,0.043222953764469371,0.0095595810466290107,0.089451862286013678,0.019748924813263131,0.057495232022457127,0.021023192004307856,0.036596198989602841,0.021223971052156548,0.04299666301517216,0.019857057169870164,0.047628183922741846,0.021435403557128151,0.052962177646891685,0.01198836672979664,0.08962915827137917,0.0095835173611064622,0.089738209336771249,0.010766079849599973,0.08216092110968122,0.011517032450907945,0.087488065662236714,0.01862019401708094,0.055432327738601392,0.012932516658848474,0.057252853110515332,0.011907929602845448,0.091025544000564104,0.015291884032595602,0.069449369488469151,0.021875853613079952,0.048043045087717194,0.0090057696495126887,0.11038880103764509
54.864000000000004,0.022187927476286576,0.03736547975221452,0.021976139312710988,0.033000648824745592,0.020649508971302133,0.039738875239836567,0.018814870084049459,0.044836794385028349,0.020793159631422503,0.03734133209581697,0.019113467424466891,0.051270103520673301,0.022200849910970627,0.039883750636328867,0.018832699106623208,0.054968783381513085,0.021806623625321191,0.035461173039499597,0.018472803875516416,0.056305125504488261,0.022129719842494042,0.040539792664141011,0.0091164414810072127,0.10105987094837247,0.0089828116222949988,0.098630692595717967,0.022101867105628691,0.03892870606993136,0.019169365198197091,0.049735837158428768,0.022247299912814121,0.039971818857208539,0.018639300734582233,0.046412264629016112,0.0089497166481956863,0.10007710429052334,0.015464850230094054,0.065853627755041305,0.018205963641601448,0.055678263689934331,0.019152387346804373,0.047711366083352996,0.0096033276006115536,0.087284662432297044,0.020254367492193129,0.041894182741525031,0.022646409641091436,0.025408700366833549,0.022271274483250347,0.025544391126765608,0.019240904270105694,0.045368924285772647,0.019282203653200557,0.048212796826443069,0.022708251904069054,0.032944849039101623,0.018429998248630671,0.055210746731694321,0.011848531126310112,0.086008683036152223,0.022106566080694275,0.035890171745232138,0.0096057054925651197,0.086047911073720312,0.020160378673253189,0.04130591777472422,0.021097147957599281,0.036294040237362143,0.021676068009066251,0.036284119779311563,0.020136172287126261,0.039591317964427851,0.021841471760561171,0.037839114620518845,0.012193496631353714,0.081137768299375412,0.0096814961537427906,0.084585588767576853,0.010948452670919708,0.074896330813438605,0.0117063634376044,0.081032769420095838,0.018851548001710031,0.045413509407706998,0.013150372566870612,0.053792342996513497,0.012131880840067727,0.083398900021725231,0.015623864016154319,0.062966154882630229,0.022221811003037321,0.027841814726197792,0.0092753627202192233,0.097382177199937817
