Calendar days since BOC,368,,,,,,
Core Burnup [MWD/MT],7508.0,,,,,,
Inlet Coolant Temperature [F],560.47499999999991,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3400.2,439.,228.,228.,228.,215.,230.
1,3393.6,430.,228.,228.,228.,215.,230.
2,3388.2,423.,228.,228.,228.,215.,230.
3,3388.0,377.,228.,228.,228.,215.,230.
4,3382.0,362.,228.,228.,228.,215.,230.
5,3389.2,359.,228.,228.,228.,215.,230.
6,3388.1,369.,228.,228.,228.,215.,230.
7,3383.4,366.,228.,228.,228.,215.,230.
8,3377.2,364.,228.,228.,228.,215.,230.
9,3383.7,373.,228.,228.,228.,215.,230.
10,3389.3,373.,228.,228.,228.,215.,230.
11,3387.0,375.,228.,228.,228.,215.,230.
12,3385.8,380.,228.,228.,228.,215.,230.
13,3385.3,375.,228.,228.,228.,215.,230.
,,,,,,,
Average Power [MWt],3387.2142857142862,,,,,,
Average Boron [ppm],383.2142857142857,,,,,,
