Calendar days since BOC,251,,,,,,
Core Burnup [MWD/MT],8729.2,,,,,,
Inlet Coolant Temperature [F],560.79999999999995,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3397.1,271.,228.,228.,228.,211.,230.
1,3395.8,271.,228.,228.,228.,211.,230.
2,3405.2,271.,228.,228.,228.,211.,230.
3,3393.9,271.,228.,228.,228.,211.,230.
4,3396.0,271.,228.,228.,228.,211.,230.
5,3396.3,271.,228.,228.,228.,211.,230.
6,3394.8,271.,228.,228.,228.,211.,230.
7,3396.4,271.,228.,228.,228.,211.,230.
8,3389.7,271.,228.,228.,228.,211.,230.
9,3395.2,271.,228.,228.,228.,211.,230.
10,3391.7,271.,228.,228.,228.,211.,230.
11,3402.6,271.,228.,228.,228.,211.,230.
12,3389.7,271.,228.,228.,228.,211.,230.
13,3394.1,271.,228.,228.,228.,211.,230.
,,,,,,,
Average Power [MWt],3395.607142857142,,,,,,
Average Boron [ppm],271.0,,,,,,
